date,fuerte,generator,n_confirmers,fuerte_hit,first_day_offset,outcome_bucket,closest_distance,closest_number
2019-11-02,7,42,1,False,,COMPANERO_TABLA1,1,18
2019-11-03,3,31,1,False,,COMPANERO_TABLA1,1,99
2019-11-03,29,41,1,True,3,FUERTE_EXACTO,0,29
2019-11-03,88,31,1,True,6,FUERTE_EXACTO,0,88
2019-11-09,29,41,1,True,2,FUERTE_EXACTO,0,29
2019-11-09,56,40,1,False,,COMPANERO_TABLA1,1,67
2019-11-09,67,40,1,True,1,FUERTE_EXACTO,0,67
2019-11-10,57,30,1,False,,COMPANERO_TABLA1,1,25
2019-11-12,23,42,1,True,3,FUERTE_EXACTO,0,23
2019-11-13,20,38,1,True,6,FUERTE_EXACTO,0,20
2019-11-14,53,28,1,True,1,FUERTE_EXACTO,0,53
2019-11-14,90,46,1,True,1,FUERTE_EXACTO,0,90
2019-11-16,96,54,1,True,1,FUERTE_EXACTO,0,96
2019-11-17,29,41,1,True,1,FUERTE_EXACTO,0,29
2019-11-18,94,39,1,False,,COMPANERO_TABLA1,1,41
2019-11-19,72,40,1,True,3,FUERTE_EXACTO,0,72
2019-11-21,71,42,1,True,5,FUERTE_EXACTO,0,71
2019-11-22,29,41,2,True,3,FUERTE_EXACTO,0,29
2019-11-23,35,49,1,True,3,FUERTE_EXACTO,0,35
2019-11-25,79,47,1,True,1,FUERTE_EXACTO,0,79
2019-11-26,9,39,3,False,,COMPANERO_TABLA1,1,41
2019-11-26,94,39,1,True,5,FUERTE_EXACTO,0,94
2019-11-27,89,48,1,False,,VECINO_TABLA2,3,12
2019-11-27,93,41,1,True,5,FUERTE_EXACTO,0,93
2019-12-04,53,28,1,True,1,FUERTE_EXACTO,0,53
2019-12-05,7,42,2,True,2,FUERTE_EXACTO,0,7
2019-12-07,27,26,2,True,4,FUERTE_EXACTO,0,27
2019-12-08,76,34,1,True,5,FUERTE_EXACTO,0,76
2019-12-10,12,43,1,True,2,FUERTE_EXACTO,0,12
2019-12-10,28,43,1,True,7,FUERTE_EXACTO,0,28
2019-12-10,41,39,1,True,1,FUERTE_EXACTO,0,41
2019-12-13,92,43,2,True,6,FUERTE_EXACTO,0,92
2019-12-13,44,43,1,True,6,FUERTE_EXACTO,0,44
2019-12-14,85,36,1,True,6,FUERTE_EXACTO,0,85
2019-12-16,34,51,1,True,2,FUERTE_EXACTO,0,34
2019-12-19,48,36,1,True,1,FUERTE_EXACTO,0,48
2019-12-20,77,32,1,True,2,FUERTE_EXACTO,0,77
2019-12-20,89,48,1,True,3,FUERTE_EXACTO,0,89
2019-12-24,79,47,1,True,1,FUERTE_EXACTO,0,79
2019-12-25,26,28,1,False,,COMPANERO_TABLA1,1,53
2019-12-27,1,34,1,True,7,FUERTE_EXACTO,0,1
2019-12-27,42,37,1,True,1,FUERTE_EXACTO,0,42
2019-12-28,54,35,1,True,3,FUERTE_EXACTO,0,54
2020-01-04,67,40,1,False,,COMPANERO_TABLA1,1,72
2020-01-05,73,48,1,False,,COMPANERO_TABLA1,1,89
2020-01-06,26,28,1,True,1,FUERTE_EXACTO,0,26
2020-01-07,9,39,1,True,4,FUERTE_EXACTO,0,9
2020-01-07,90,46,1,True,2,FUERTE_EXACTO,0,90
2020-01-07,91,44,1,True,3,FUERTE_EXACTO,0,91
2020-01-07,94,39,1,True,1,FUERTE_EXACTO,0,94
2020-01-08,73,48,1,True,6,FUERTE_EXACTO,0,73
2020-01-09,53,28,1,False,,COMPANERO_TABLA1,1,21
2020-01-10,8,40,1,True,2,FUERTE_EXACTO,0,8
2020-01-10,77,32,1,True,6,FUERTE_EXACTO,0,77
2020-01-19,27,26,1,False,,COMPANERO_TABLA1,1,38
2020-01-20,31,38,1,True,1,FUERTE_EXACTO,0,31
2020-01-20,52,38,1,True,4,FUERTE_EXACTO,0,52
2020-01-20,63,38,1,True,6,FUERTE_EXACTO,0,63
2020-01-22,31,38,1,True,3,FUERTE_EXACTO,0,31
2020-01-22,52,38,1,True,2,FUERTE_EXACTO,0,52
2020-01-22,63,38,1,True,4,FUERTE_EXACTO,0,63
2020-01-26,22,44,1,False,,COMPANERO_TABLA1,1,91
2020-01-26,59,44,1,False,,COMPANERO_TABLA1,1,91
2020-01-26,70,44,1,True,7,FUERTE_EXACTO,0,70
2020-01-29,75,44,1,True,3,FUERTE_EXACTO,0,75
2020-01-30,71,42,1,True,3,FUERTE_EXACTO,0,71
2020-01-31,2,33,1,True,6,FUERTE_EXACTO,0,2
2020-01-31,87,33,1,False,,COMPANERO_TABLA1,1,2
2020-02-02,73,48,1,True,3,FUERTE_EXACTO,0,73
2020-02-08,54,35,1,True,3,FUERTE_EXACTO,0,54
2020-02-08,80,45,1,True,4,FUERTE_EXACTO,0,80
2020-02-09,40,49,1,True,2,FUERTE_EXACTO,0,40
2020-02-11,35,49,1,True,2,FUERTE_EXACTO,0,35
2020-02-13,11,35,1,True,4,FUERTE_EXACTO,0,11
2020-02-17,11,35,1,True,2,FUERTE_EXACTO,0,11
2020-02-17,40,49,1,False,,COMPANERO_TABLA1,1,83
2020-02-17,77,32,1,True,4,FUERTE_EXACTO,0,77
2020-02-19,7,42,1,False,,COMPANERO_TABLA1,1,66
2020-02-21,11,35,1,True,4,FUERTE_EXACTO,0,11
2020-02-21,28,43,1,True,1,FUERTE_EXACTO,0,28
2020-02-21,44,43,1,False,,COMPANERO_TABLA1,1,92
2020-02-21,92,43,1,True,1,FUERTE_EXACTO,0,92
2020-02-23,44,43,1,True,7,FUERTE_EXACTO,0,44
2020-02-24,58,46,1,True,6,FUERTE_EXACTO,0,58
2020-02-24,90,46,1,True,1,FUERTE_EXACTO,0,90
2020-02-25,35,49,1,True,4,FUERTE_EXACTO,0,35
2020-02-27,48,36,1,True,2,FUERTE_EXACTO,0,48
2020-02-28,2,33,1,True,2,FUERTE_EXACTO,0,2
2020-02-28,87,33,1,True,1,FUERTE_EXACTO,0,87
2020-03-01,56,40,1,True,7,FUERTE_EXACTO,0,56
2020-03-02,22,44,1,True,4,FUERTE_EXACTO,0,22
2020-03-02,70,44,1,True,4,FUERTE_EXACTO,0,70
2020-03-03,4,47,1,True,5,FUERTE_EXACTO,0,4
2020-03-07,68,47,1,False,,COMPANERO_TABLA1,1,4
2020-03-08,29,41,1,True,4,FUERTE_EXACTO,0,29
2020-03-10,53,28,1,True,2,FUERTE_EXACTO,0,53
2020-03-11,8,40,1,True,6,FUERTE_EXACTO,0,8
2020-03-11,19,40,1,False,,COMPANERO_TABLA1,1,56
2020-03-11,85,36,1,True,4,FUERTE_EXACTO,0,85
2020-03-12,9,39,1,False,,COMPANERO_TABLA1,1,94
2020-03-13,46,39,1,False,,COMPANERO_TABLA1,1,62
2020-03-13,68,47,1,False,,COMPANERO_TABLA1,1,79
2020-03-14,9,39,1,True,6,FUERTE_EXACTO,0,9
2020-03-14,44,43,1,True,2,FUERTE_EXACTO,0,44
2020-03-16,10,37,1,False,,COMPANERO_TABLA1,1,5
2020-03-16,42,37,1,True,1,FUERTE_EXACTO,0,42
2020-03-16,73,48,1,True,2,FUERTE_EXACTO,0,73
2020-03-18,34,51,1,False,,COMPANERO_TABLA1,1,98
2020-04-03,35,49,1,True,7,FUERTE_EXACTO,0,35
2020-04-11,93,41,1,False,,VECINO_TABLA2,3,48
2020-04-12,77,32,1,False,,VECINO_TABLA2,3,28
2020-04-16,30,39,1,False,,COMPANERO_TABLA1,1,14
2020-04-25,69,45,1,True,6,FUERTE_EXACTO,0,69
2020-05-03,29,41,1,True,3,FUERTE_EXACTO,0,29
2020-05-03,42,37,1,True,3,FUERTE_EXACTO,0,42
2020-05-28,76,34,1,True,7,FUERTE_EXACTO,0,76
2020-06-03,22,44,1,True,6,FUERTE_EXACTO,0,22
2020-06-03,70,44,1,True,3,FUERTE_EXACTO,0,70
2020-06-04,69,45,1,False,,VECINO_TABLA2,3,11
2020-06-07,58,46,1,True,3,FUERTE_EXACTO,0,58
2020-06-07,90,46,1,False,,COMPANERO_TABLA1,1,74
2020-06-08,85,36,1,True,2,FUERTE_EXACTO,0,85
2020-06-09,28,43,1,True,4,FUERTE_EXACTO,0,28
2020-06-09,94,39,1,True,4,FUERTE_EXACTO,0,94
2020-06-10,63,38,2,False,,COMPANERO_TABLA1,1,31
2020-06-10,7,42,1,True,7,FUERTE_EXACTO,0,7
2020-06-10,15,29,1,True,3,FUERTE_EXACTO,0,15
2020-06-10,52,38,1,True,1,FUERTE_EXACTO,0,52
2020-06-11,44,43,1,True,3,FUERTE_EXACTO,0,44
2020-06-12,4,47,1,False,,COMPANERO_TABLA1,1,68
2020-06-14,22,44,1,False,,COMPANERO_TABLA1,1,70
2020-06-14,70,44,1,True,1,FUERTE_EXACTO,0,70
2020-06-15,54,35,1,False,,COMPANERO_TABLA1,1,86
2020-06-16,42,37,1,True,6,FUERTE_EXACTO,0,42
2020-06-18,76,34,1,True,1,FUERTE_EXACTO,0,76
2020-06-20,65,52,1,True,1,FUERTE_EXACTO,0,65
2020-06-20,85,36,1,False,,COMPANERO_TABLA1,1,32
2020-06-21,92,43,1,True,5,FUERTE_EXACTO,0,92
2020-06-22,44,43,1,True,1,FUERTE_EXACTO,0,44
2020-06-22,60,43,1,True,4,FUERTE_EXACTO,0,60
2020-06-23,22,44,2,True,1,FUERTE_EXACTO,0,22
2020-06-23,70,44,2,True,2,FUERTE_EXACTO,0,70
2020-06-24,94,39,1,True,2,FUERTE_EXACTO,0,94
2020-06-27,27,26,1,True,3,FUERTE_EXACTO,0,27
2020-06-27,41,39,1,True,5,FUERTE_EXACTO,0,41
2020-06-28,82,33,1,True,7,FUERTE_EXACTO,0,82
2020-06-29,19,40,1,True,7,FUERTE_EXACTO,0,19
2020-06-29,56,40,1,False,,COMPANERO_TABLA1,1,8
2020-06-29,91,44,1,False,,COMPANERO_TABLA1,1,59
2020-06-30,57,30,1,False,,COMPANERO_TABLA1,1,25
2020-07-01,42,37,1,False,,COMPANERO_TABLA1,1,5
