day,relation,count,row_pct,col_pct
D+6,COMPANERO_DEL_CONFIRMADOR,1828,2.78,14.12
D+6,CONFIRMADOR_ORIGINAL,529,0.8,14.83
D+6,FUERTE_ALTERNATIVO,596,0.91,13.99
D+6,FUERTE_EXACTO,507,0.77,14.56
D+6,MISMO_CODIGO_T1,2347,3.57,14.26
D+6,MISMO_CODIGO_T2,3459,5.26,14.56
D+6,MISMO_GRUPO_T1,2347,3.57,14.26
D+6,MISMO_GRUPO_T2,3459,5.26,14.56
D+6,POSICION_T1_ADYACENTE,648,0.99,13.74
D+6,POSICION_T1_CERCANA,816,1.24,14.41
D+6,POSICION_T1_LEJANA,376,0.57,14.51
D+6,POSICION_T2_ADYACENTE,747,1.14,13.5
D+6,RELACION_DE_SEGUNDO_NIVEL,10878,16.55,14.53
D+6,RELACION_DE_TERCER_NIVEL,14962,22.76,14.29
D+6,SIN_RELACION_DIRECTA_IDENTIFICADA,14875,22.62,14.13
D+6,VECINO_DEL_CONFIRMADOR,2930,4.46,14.51
D+7,CANDIDATO_ORIGINAL_ALTERNATIVO,4556,6.95,14.17
D+7,COMPANERO_DEL_CONFIRMADOR,1864,2.84,14.4
D+7,CONFIRMADOR_ORIGINAL,516,0.79,14.47
D+7,FUERTE_ALTERNATIVO,594,0.91,13.94
D+7,FUERTE_EXACTO,491,0.75,14.1
D+7,MISMO_CODIGO_T1,2296,3.5,13.95
D+7,MISMO_CODIGO_T2,3392,5.17,14.27
D+7,MISMO_GRUPO_T1,2296,3.5,13.95
D+7,MISMO_GRUPO_T2,3392,5.17,14.27
D+7,POSICION_T1_ADYACENTE,658,1.0,13.96
D+7,POSICION_T1_CERCANA,795,1.21,14.04
D+7,POSICION_T1_LEJANA,352,0.54,13.58
D+7,POSICION_T2_ADYACENTE,796,1.21,14.38
D+7,RELACION_DE_SEGUNDO_NIVEL,10602,16.16,14.17
D+7,RELACION_DE_TERCER_NIVEL,14957,22.8,14.29
D+7,SIN_RELACION_DIRECTA_IDENTIFICADA,15155,23.11,14.39
D+7,VECINO_DEL_CONFIRMADOR,2876,4.38,14.24
