origin,fuerte,confirmer,result,count,consistency
43,44,9,8,32,NIVEL_4_REPETICION_ALTA
39,94,84,72,32,NIVEL_4_REPETICION_ALTA
39,94,84,63,32,NIVEL_4_REPETICION_ALTA
44,70,22,24,32,NIVEL_4_REPETICION_ALTA
39,9,90,8,32,NIVEL_4_REPETICION_ALTA
37,10,1,1,31,NIVEL_4_REPETICION_ALTA
37,10,1,90,31,NIVEL_4_REPETICION_ALTA
37,42,9,21,31,NIVEL_4_REPETICION_ALTA
48,89,41,51,31,NIVEL_4_REPETICION_ALTA
41,93,48,51,31,NIVEL_4_REPETICION_ALTA
45,69,57,27,31,NIVEL_4_REPETICION_ALTA
45,69,57,46,31,NIVEL_4_REPETICION_ALTA
47,68,92,8,31,NIVEL_4_REPETICION_ALTA
43,92,68,13,31,NIVEL_4_REPETICION_ALTA
33,87,23,78,31,NIVEL_4_REPETICION_ALTA
33,87,23,81,31,NIVEL_4_REPETICION_ALTA
40,72,26,48,31,NIVEL_4_REPETICION_ALTA
38,63,22,46,31,NIVEL_4_REPETICION_ALTA
31,3,30,85,31,NIVEL_4_REPETICION_ALTA
26,27,76,25,31,NIVEL_4_REPETICION_ALTA
26,27,76,88,31,NIVEL_4_REPETICION_ALTA
43,44,29,9,31,NIVEL_4_REPETICION_ALTA
42,7,29,10,31,NIVEL_4_REPETICION_ALTA
42,7,29,86,31,NIVEL_4_REPETICION_ALTA
39,94,84,52,31,NIVEL_4_REPETICION_ALTA
39,94,84,77,31,NIVEL_4_REPETICION_ALTA
39,94,84,51,31,NIVEL_4_REPETICION_ALTA
39,94,84,37,31,NIVEL_4_REPETICION_ALTA
39,94,84,84,31,NIVEL_4_REPETICION_ALTA
39,94,84,88,31,NIVEL_4_REPETICION_ALTA
39,94,84,42,31,NIVEL_4_REPETICION_ALTA
39,94,84,29,31,NIVEL_4_REPETICION_ALTA
42,7,53,6,31,NIVEL_4_REPETICION_ALTA
43,92,27,92,31,NIVEL_4_REPETICION_ALTA
35,54,14,88,31,NIVEL_4_REPETICION_ALTA
35,54,14,47,31,NIVEL_4_REPETICION_ALTA
48,73,23,91,31,NIVEL_4_REPETICION_ALTA
37,42,44,93,31,NIVEL_4_REPETICION_ALTA
37,42,44,33,31,NIVEL_4_REPETICION_ALTA
37,42,44,8,31,NIVEL_4_REPETICION_ALTA
43,44,9,66,31,NIVEL_4_REPETICION_ALTA
40,19,86,19,31,NIVEL_4_REPETICION_ALTA
43,44,29,96,31,NIVEL_4_REPETICION_ALTA
44,70,22,87,31,NIVEL_4_REPETICION_ALTA
44,70,22,84,31,NIVEL_4_REPETICION_ALTA
44,70,22,42,31,NIVEL_4_REPETICION_ALTA
46,74,31,30,31,NIVEL_4_REPETICION_ALTA
42,7,53,8,31,NIVEL_4_REPETICION_ALTA
42,7,53,28,31,NIVEL_4_REPETICION_ALTA
44,70,22,71,31,NIVEL_4_REPETICION_ALTA
44,70,22,57,31,NIVEL_4_REPETICION_ALTA
37,10,1,20,30,NIVEL_4_REPETICION_ALTA
37,10,1,15,30,NIVEL_4_REPETICION_ALTA
48,89,41,76,30,NIVEL_4_REPETICION_ALTA
48,89,41,53,30,NIVEL_4_REPETICION_ALTA
41,93,48,76,30,NIVEL_4_REPETICION_ALTA
41,93,48,53,30,NIVEL_4_REPETICION_ALTA
45,69,57,11,30,NIVEL_4_REPETICION_ALTA
45,80,8,58,30,NIVEL_4_REPETICION_ALTA
45,80,8,21,30,NIVEL_4_REPETICION_ALTA
52,65,37,13,30,NIVEL_4_REPETICION_ALTA
52,65,37,42,30,NIVEL_4_REPETICION_ALTA
37,42,22,79,30,NIVEL_4_REPETICION_ALTA
43,92,68,91,30,NIVEL_4_REPETICION_ALTA
33,87,23,57,30,NIVEL_4_REPETICION_ALTA
40,72,26,59,30,NIVEL_4_REPETICION_ALTA
40,72,26,49,30,NIVEL_4_REPETICION_ALTA
40,72,26,46,30,NIVEL_4_REPETICION_ALTA
38,63,22,3,30,NIVEL_4_REPETICION_ALTA
38,63,70,65,30,NIVEL_4_REPETICION_ALTA
38,63,70,89,30,NIVEL_4_REPETICION_ALTA
31,3,30,6,30,NIVEL_4_REPETICION_ALTA
31,3,30,7,30,NIVEL_4_REPETICION_ALTA
26,27,76,63,30,NIVEL_4_REPETICION_ALTA
43,44,29,43,30,NIVEL_4_REPETICION_ALTA
42,7,29,58,30,NIVEL_4_REPETICION_ALTA
42,7,29,91,30,NIVEL_4_REPETICION_ALTA
42,7,29,12,30,NIVEL_4_REPETICION_ALTA
40,56,41,19,30,NIVEL_4_REPETICION_ALTA
38,20,2,32,30,NIVEL_4_REPETICION_ALTA
47,79,67,55,30,NIVEL_4_REPETICION_ALTA
39,94,84,45,30,NIVEL_4_REPETICION_ALTA
39,94,84,56,30,NIVEL_4_REPETICION_ALTA
39,94,84,94,30,NIVEL_4_REPETICION_ALTA
39,94,84,35,30,NIVEL_4_REPETICION_ALTA
42,7,29,14,30,NIVEL_4_REPETICION_ALTA
42,7,53,7,30,NIVEL_4_REPETICION_ALTA
42,7,53,96,30,NIVEL_4_REPETICION_ALTA
43,92,27,98,30,NIVEL_4_REPETICION_ALTA
32,77,23,82,30,NIVEL_4_REPETICION_ALTA
35,54,14,42,30,NIVEL_4_REPETICION_ALTA
40,19,86,41,30,NIVEL_4_REPETICION_ALTA
40,19,86,93,30,NIVEL_4_REPETICION_ALTA
37,42,44,63,30,NIVEL_4_REPETICION_ALTA
43,44,9,88,30,NIVEL_4_REPETICION_ALTA
43,44,9,16,30,NIVEL_4_REPETICION_ALTA
47,79,67,92,30,NIVEL_4_REPETICION_ALTA
49,35,44,47,30,NIVEL_4_REPETICION_ALTA
44,70,22,5,30,NIVEL_4_REPETICION_ALTA
44,70,22,1,30,NIVEL_4_REPETICION_ALTA
44,70,22,81,30,NIVEL_4_REPETICION_ALTA
44,70,22,10,30,NIVEL_4_REPETICION_ALTA
44,70,22,50,30,NIVEL_4_REPETICION_ALTA
44,70,22,7,30,NIVEL_4_REPETICION_ALTA
38,20,2,97,30,NIVEL_4_REPETICION_ALTA
38,20,2,25,30,NIVEL_4_REPETICION_ALTA
37,42,90,8,30,NIVEL_4_REPETICION_ALTA
37,42,90,88,30,NIVEL_4_REPETICION_ALTA
49,35,7,55,30,NIVEL_4_REPETICION_ALTA
46,74,31,43,30,NIVEL_4_REPETICION_ALTA
39,9,63,37,30,NIVEL_4_REPETICION_ALTA
41,29,42,76,30,NIVEL_4_REPETICION_ALTA
42,71,41,76,30,NIVEL_4_REPETICION_ALTA
42,71,56,90,30,NIVEL_4_REPETICION_ALTA
37,42,53,61,30,NIVEL_4_REPETICION_ALTA
37,10,1,28,29,NIVEL_4_REPETICION_ALTA
37,10,1,29,29,NIVEL_4_REPETICION_ALTA
37,10,1,3,29,NIVEL_4_REPETICION_ALTA
42,71,89,21,29,NIVEL_4_REPETICION_ALTA
42,71,89,8,29,NIVEL_4_REPETICION_ALTA
40,72,34,42,29,NIVEL_4_REPETICION_ALTA
40,72,34,19,29,NIVEL_4_REPETICION_ALTA
48,89,41,54,29,NIVEL_4_REPETICION_ALTA
48,89,41,84,29,NIVEL_4_REPETICION_ALTA
41,93,48,54,29,NIVEL_4_REPETICION_ALTA
41,93,48,84,29,NIVEL_4_REPETICION_ALTA
45,69,57,8,29,NIVEL_4_REPETICION_ALTA
45,69,57,80,29,NIVEL_4_REPETICION_ALTA
45,80,8,88,29,NIVEL_4_REPETICION_ALTA
47,68,92,55,29,NIVEL_4_REPETICION_ALTA
47,68,92,49,29,NIVEL_4_REPETICION_ALTA
52,65,37,69,29,NIVEL_4_REPETICION_ALTA
52,65,37,81,29,NIVEL_4_REPETICION_ALTA
51,34,59,27,29,NIVEL_4_REPETICION_ALTA
43,92,68,9,29,NIVEL_4_REPETICION_ALTA
43,92,68,51,29,NIVEL_4_REPETICION_ALTA
40,72,26,13,29,NIVEL_4_REPETICION_ALTA
40,72,26,26,29,NIVEL_4_REPETICION_ALTA
40,72,26,61,29,NIVEL_4_REPETICION_ALTA
38,63,22,81,29,NIVEL_4_REPETICION_ALTA
38,63,22,41,29,NIVEL_4_REPETICION_ALTA
38,63,22,32,29,NIVEL_4_REPETICION_ALTA
38,63,70,91,29,NIVEL_4_REPETICION_ALTA
31,3,30,38,29,NIVEL_4_REPETICION_ALTA
44,91,69,61,29,NIVEL_4_REPETICION_ALTA
26,27,76,86,29,NIVEL_4_REPETICION_ALTA
26,27,76,3,29,NIVEL_4_REPETICION_ALTA
26,27,76,95,29,NIVEL_4_REPETICION_ALTA
26,27,76,39,29,NIVEL_4_REPETICION_ALTA
26,27,76,64,29,NIVEL_4_REPETICION_ALTA
42,7,29,79,29,NIVEL_4_REPETICION_ALTA
42,7,29,31,29,NIVEL_4_REPETICION_ALTA
42,7,29,84,29,NIVEL_4_REPETICION_ALTA
42,7,29,88,29,NIVEL_4_REPETICION_ALTA
38,20,2,51,29,NIVEL_4_REPETICION_ALTA
38,20,2,7,29,NIVEL_4_REPETICION_ALTA
47,79,67,52,29,NIVEL_4_REPETICION_ALTA
47,79,67,20,29,NIVEL_4_REPETICION_ALTA
39,94,84,17,29,NIVEL_4_REPETICION_ALTA
39,94,84,53,29,NIVEL_4_REPETICION_ALTA
39,94,84,10,29,NIVEL_4_REPETICION_ALTA
42,7,53,34,29,NIVEL_4_REPETICION_ALTA
42,7,53,22,29,NIVEL_4_REPETICION_ALTA
43,92,27,81,29,NIVEL_4_REPETICION_ALTA
35,54,14,90,29,NIVEL_4_REPETICION_ALTA
48,73,23,81,29,NIVEL_4_REPETICION_ALTA
39,9,44,21,29,NIVEL_4_REPETICION_ALTA
48,73,23,1,29,NIVEL_4_REPETICION_ALTA
28,53,90,5,29,NIVEL_4_REPETICION_ALTA
32,77,23,79,29,NIVEL_4_REPETICION_ALTA
38,63,70,45,29,NIVEL_4_REPETICION_ALTA
40,19,86,66,29,NIVEL_4_REPETICION_ALTA
40,19,86,55,29,NIVEL_4_REPETICION_ALTA
37,42,44,87,29,NIVEL_4_REPETICION_ALTA
37,42,44,45,29,NIVEL_4_REPETICION_ALTA
39,94,84,3,29,NIVEL_4_REPETICION_ALTA
43,44,9,55,29,NIVEL_4_REPETICION_ALTA
43,28,23,11,29,NIVEL_4_REPETICION_ALTA
49,35,44,54,29,NIVEL_4_REPETICION_ALTA
44,70,22,83,29,NIVEL_4_REPETICION_ALTA
44,70,22,60,29,NIVEL_4_REPETICION_ALTA
44,70,22,49,29,NIVEL_4_REPETICION_ALTA
44,70,22,90,29,NIVEL_4_REPETICION_ALTA
44,70,22,40,29,NIVEL_4_REPETICION_ALTA
44,70,22,97,29,NIVEL_4_REPETICION_ALTA
46,74,31,10,29,NIVEL_4_REPETICION_ALTA
37,42,44,67,29,NIVEL_4_REPETICION_ALTA
44,22,70,47,29,NIVEL_4_REPETICION_ALTA
44,70,22,30,29,NIVEL_4_REPETICION_ALTA
39,9,63,44,29,NIVEL_4_REPETICION_ALTA
42,71,56,8,29,NIVEL_4_REPETICION_ALTA
37,42,53,85,29,NIVEL_4_REPETICION_ALTA
37,42,53,96,29,NIVEL_4_REPETICION_ALTA
42,50,5,10,28,NIVEL_4_REPETICION_ALTA
37,10,1,43,28,NIVEL_4_REPETICION_ALTA
37,10,1,7,28,NIVEL_4_REPETICION_ALTA
37,10,1,50,28,NIVEL_4_REPETICION_ALTA
37,10,1,68,28,NIVEL_4_REPETICION_ALTA
40,72,34,21,28,NIVEL_4_REPETICION_ALTA
37,42,9,19,28,NIVEL_4_REPETICION_ALTA
37,42,9,64,28,NIVEL_4_REPETICION_ALTA
37,42,9,67,28,NIVEL_4_REPETICION_ALTA
37,42,9,70,28,NIVEL_4_REPETICION_ALTA
48,89,41,36,28,NIVEL_4_REPETICION_ALTA
48,89,41,77,28,NIVEL_4_REPETICION_ALTA
41,93,48,36,28,NIVEL_4_REPETICION_ALTA
41,93,48,77,28,NIVEL_4_REPETICION_ALTA
47,68,76,22,28,NIVEL_4_REPETICION_ALTA
47,68,76,51,28,NIVEL_4_REPETICION_ALTA
47,68,76,11,28,NIVEL_4_REPETICION_ALTA
38,52,85,38,28,NIVEL_4_REPETICION_ALTA
44,22,7,11,28,NIVEL_4_REPETICION_ALTA
44,70,7,11,28,NIVEL_4_REPETICION_ALTA
45,69,57,38,28,NIVEL_4_REPETICION_ALTA
45,69,57,78,28,NIVEL_4_REPETICION_ALTA
45,80,8,49,28,NIVEL_4_REPETICION_ALTA
45,80,8,26,28,NIVEL_4_REPETICION_ALTA
47,68,92,92,28,NIVEL_4_REPETICION_ALTA
47,68,92,53,28,NIVEL_4_REPETICION_ALTA
52,65,37,41,28,NIVEL_4_REPETICION_ALTA
37,42,22,7,28,NIVEL_4_REPETICION_ALTA
37,42,22,96,28,NIVEL_4_REPETICION_ALTA
39,9,70,20,28,NIVEL_4_REPETICION_ALTA
33,87,23,11,28,NIVEL_4_REPETICION_ALTA
33,87,23,18,28,NIVEL_4_REPETICION_ALTA
45,69,57,16,28,NIVEL_4_REPETICION_ALTA
40,72,26,34,28,NIVEL_4_REPETICION_ALTA
40,72,26,3,28,NIVEL_4_REPETICION_ALTA
38,63,22,23,28,NIVEL_4_REPETICION_ALTA
38,63,70,49,28,NIVEL_4_REPETICION_ALTA
31,3,30,9,28,NIVEL_4_REPETICION_ALTA
31,3,30,69,28,NIVEL_4_REPETICION_ALTA
44,91,69,76,28,NIVEL_4_REPETICION_ALTA
31,3,30,13,28,NIVEL_4_REPETICION_ALTA
26,27,76,13,28,NIVEL_4_REPETICION_ALTA
26,27,76,93,28,NIVEL_4_REPETICION_ALTA
43,44,29,76,28,NIVEL_4_REPETICION_ALTA
43,44,29,11,28,NIVEL_4_REPETICION_ALTA
42,7,29,64,28,NIVEL_4_REPETICION_ALTA
42,7,29,49,28,NIVEL_4_REPETICION_ALTA
42,7,29,97,28,NIVEL_4_REPETICION_ALTA
38,20,2,28,28,NIVEL_4_REPETICION_ALTA
38,20,2,52,28,NIVEL_4_REPETICION_ALTA
39,94,84,34,28,NIVEL_4_REPETICION_ALTA
39,94,84,12,28,NIVEL_4_REPETICION_ALTA
39,94,84,70,28,NIVEL_4_REPETICION_ALTA
39,94,84,31,28,NIVEL_4_REPETICION_ALTA
39,94,84,74,28,NIVEL_4_REPETICION_ALTA
39,94,84,93,28,NIVEL_4_REPETICION_ALTA
39,94,84,7,28,NIVEL_4_REPETICION_ALTA
42,7,29,78,28,NIVEL_4_REPETICION_ALTA
42,7,29,96,28,NIVEL_4_REPETICION_ALTA
42,7,29,44,28,NIVEL_4_REPETICION_ALTA
42,7,53,92,28,NIVEL_4_REPETICION_ALTA
42,7,53,15,28,NIVEL_4_REPETICION_ALTA
42,7,53,41,28,NIVEL_4_REPETICION_ALTA
42,7,53,60,28,NIVEL_4_REPETICION_ALTA
43,44,35,45,28,NIVEL_4_REPETICION_ALTA
43,92,27,74,28,NIVEL_4_REPETICION_ALTA
43,92,27,91,28,NIVEL_4_REPETICION_ALTA
36,48,93,3,28,NIVEL_4_REPETICION_ALTA
36,48,93,76,28,NIVEL_4_REPETICION_ALTA
28,26,72,58,28,NIVEL_4_REPETICION_ALTA
34,1,10,84,28,NIVEL_4_REPETICION_ALTA
34,1,10,71,28,NIVEL_4_REPETICION_ALTA
35,54,14,41,28,NIVEL_4_REPETICION_ALTA
35,54,14,8,28,NIVEL_4_REPETICION_ALTA
35,54,14,97,28,NIVEL_4_REPETICION_ALTA
