number,t1_code,t1_group,t1_pos,t1_group_size,t2_code,t2_group,t2_pos,t2_group_size,times_fuerte,exact_any,exact_D+1,exact_D+2,exact_D+3,exact_D+4,exact_D+5,exact_D+6,exact_D+7,times_origin,times_confirmer,candidates_as_origin
54,35,6|11|43|54|86,4,5,58,14|54,2,2,15,11,2,2,3,2,1,1,0,6,11,96
55,42,7|18|23|50|55|66|71,5,7,49,55,1,1,0,0,0,0,0,0,0,0,0,0,0,
56,40,8|19|51|56|67|72,4,6,57,12|41|56|71|89,3,5,38,26,4,6,2,6,3,2,3,0,32,95
57,30,25|57,2,2,47,11|57|69|91,2,4,29,25,3,9,3,3,4,2,1,0,33,
58,46,37|58|74|90,2,4,50,58|84|94,1,3,16,13,4,2,3,1,1,2,0,0,19,
59,44,22|59|70|75|91,2,5,52,26|34|59|72,3,4,28,22,2,2,8,3,3,1,3,0,32,
60,43,12|28|44|60|81|92,4,6,32,6|60,2,2,9,7,2,0,1,2,1,1,0,0,7,
61,5,61,1,1,2,61,1,1,0,0,0,0,0,0,0,0,0,0,0,
62,39,9|14|30|41|46|62|78|94,6,8,64,62|75,1,2,7,6,0,2,2,1,0,0,1,0,10,
63,38,20|31|47|52|63|100,5,6,55,7|9|22|29|35|42|44|53|63|70|90,9,11,75,56,7,10,10,9,6,11,3,0,87,
64,36,32|48|64|85,3,4,23,64,1,1,0,0,0,0,0,0,0,0,0,0,0,
65,52,65|97,1,2,60,37|65|82,2,3,24,19,5,5,1,2,2,1,3,0,16,
66,42,7|18|23|50|55|66|71,6,7,69,66,1,1,0,0,0,0,0,0,0,0,0,0,0,
67,40,8|19|51|56|67|72,5,6,54,67|79|88,1,3,16,11,4,1,4,0,2,0,0,0,17,
68,47,4|36|68|79|84,3,5,53,27|68|76|92,2,4,31,18,4,5,2,0,5,0,2,0,36,
69,45,69|80,1,2,47,11|57|69|91,3,4,32,23,4,6,1,4,1,5,2,0,27,
70,44,22|59|70|75|91,3,5,55,7|9|22|29|35|42|44|53|63|70|90,10,11,76,57,20,9,6,10,7,2,3,0,103,
71,42,7|18|23|50|55|66|71,7,7,57,12|41|56|71|89,4,5,43,35,15,5,7,0,5,1,2,0,32,
72,40,8|19|51|56|67|72,6,6,52,26|34|59|72,4,4,30,23,8,4,5,1,1,0,4,0,30,
73,48,73|89,1,2,51,23|28|73|77|87,3,5,35,26,8,5,5,2,2,1,3,0,37,
74,46,37|58|74|90,3,4,66,31|74,2,2,13,10,2,5,0,0,0,3,0,0,10,
75,44,22|59|70|75|91,4,5,64,62|75,2,2,10,6,2,0,3,1,0,0,0,0,7,
76,34,1|17|33|49|76,5,5,53,27|68|76|92,3,4,29,25,4,2,7,5,2,2,3,0,36,
77,32,77,1,1,51,23|28|73|77|87,4,5,41,28,4,4,3,6,2,4,5,0,31,
78,39,9|14|30|41|46|62|78|94,7,8,35,39|78,2,2,0,0,0,0,0,0,0,0,0,0,4,
79,47,4|36|68|79|84,4,5,54,67|79|88,2,3,24,19,8,4,3,2,0,2,0,0,17,
80,45,69|80,2,2,13,8|80,2,2,13,11,3,2,1,3,0,1,1,0,10,
81,43,12|28|44|60|81|92,5,6,48,52|81|85,2,3,15,15,6,2,2,1,0,4,0,0,15,
82,33,2|39|82|87,3,4,60,37|65|82,3,3,20,18,6,5,3,2,1,0,1,0,17,
83,49,35|40|83,3,3,65,3|30|83,3,3,23,17,5,5,2,2,0,1,2,0,16,
84,47,4|36|68|79|84,5,5,50,58|84|94,2,3,16,12,4,0,3,3,1,1,0,0,29,
85,36,32|48|64|85,4,4,48,52|81|85,3,3,20,16,2,6,2,4,1,1,0,0,21,
86,35,6|11|43|54|86,5,5,43,19|46|86,3,3,14,12,3,1,2,4,1,1,0,0,25,
87,33,2|39|82|87,4,4,51,23|28|73|77|87,5,5,38,34,7,6,6,5,3,5,2,0,39,
88,31,3|24|88|99,3,4,54,67|79|88,3,3,12,8,0,0,0,2,2,2,2,0,20,
