case_date,fuerte,origin,confirmer,first_day_offset,first_date,first_lottery,first_draw_position,first_position_label,total_appearances,distinct_days,distinct_lotteries,source_reference
2024-03-07,81,43,52,2,2024-03-09,New York 10:30,1,1ro,3,3,3,175139
2024-03-12,21,28,51,7,2024-03-19,Quiniela Leidsa,1,1ro,1,1,1,175414
2024-03-12,26,28,59,2,2024-03-14,Quiniela Real,3,3ro,2,2,2,175257
2024-03-12,27,26,68,2,2024-03-14,Quiniela Loteka,1,1ro,3,2,3,175270
2024-03-12,34,51,26,3,2024-03-15,New York 2:30,2,2do,1,1,1,175290
2024-03-12,34,51,59,3,2024-03-15,New York 2:30,2,2do,1,1,1,175290
2024-03-15,77,32,87,2,2024-03-17,Quiniela Loteka,3,3ro,3,3,2,175358
2024-03-16,96,54,15,2,2024-03-18,Quiniela Leidsa,3,3ro,3,3,3,175387
2024-03-18,28,43,77,3,2024-03-21,New York 10:30,3,3ro,3,3,3,175472
2024-03-18,79,47,88,2,2024-03-20,Loteria Nacional,1,1ro,2,2,1,175442
2024-03-19,27,26,92,4,2024-03-23,Loteria Nacional,1,1ro,2,2,2,175517
2024-03-22,35,49,29,1,2024-03-23,New York 2:30,2,2do,1,1,1,175507
2024-03-22,42,37,29,1,2024-03-23,Quiniela Real,2,2do,3,3,3,175505
2024-03-26,9,39,44,1,2024-03-27,Quiniela Leidsa,2,2do,1,1,1,175630
2024-03-28,23,42,87,7,2024-04-04,New York 2:30,3,3ro,1,1,1,175803
2024-04-05,20,38,2,6,2024-04-11,Gana Mas,3,3ro,1,1,1,176031
2024-04-05,63,38,70,1,2024-04-06,Quiniela Loteka,1,1ro,2,2,2,175864
2024-04-05,90,46,70,4,2024-04-09,New York 10:30,2,2do,1,1,1,175957
2024-04-07,53,28,7,7,2024-04-14,Loteria Nacional,2,2do,1,1,1,176115
2024-04-07,53,28,29,7,2024-04-14,Loteria Nacional,2,2do,1,1,1,176115
2024-04-07,87,33,28,5,2024-04-12,Quiniela Real,3,3ro,2,2,1,176055
2024-04-11,68,47,27,5,2024-04-16,New York 10:30,1,1ro,1,1,1,176196
2024-04-12,34,51,72,1,2024-04-13,New York 10:30,2,2do,1,1,1,176100
2024-04-13,14,39,54,2,2024-04-15,Gana Mas,2,2do,4,3,3,176149
2024-04-16,2,33,20,2,2024-04-18,Gana Mas,3,3ro,2,2,2,176234
2024-04-18,71,42,89,5,2024-04-23,New York 2:30,3,3ro,1,1,1,176380
2024-04-20,7,42,70,1,2024-04-21,Loteria Nacional,3,3ro,3,3,3,176330
2024-04-21,14,39,54,1,2024-04-22,Quiniela Leidsa,1,1ro,1,1,1,176361
2024-04-23,63,38,53,5,2024-04-28,Quiniela Leidsa,1,1ro,2,2,2,176527
2024-04-24,97,52,48,3,2024-04-27,Gana Mas,1,1ro,2,2,1,176496
2024-04-27,74,46,31,6,2024-05-03,New York 10:30,3,3ro,1,1,1,176700
2024-04-27,90,46,9,5,2024-05-02,Loteria Nacional,1,1ro,1,1,1,176662
2024-04-28,80,45,8,1,2024-04-29,Quiniela Leidsa,1,1ro,1,1,1,176566
2024-04-28,87,33,73,6,2024-05-04,New York 2:30,1,1ro,1,1,1,176709
2024-04-29,57,30,91,6,2024-05-05,Quiniela Leidsa,1,1ro,1,1,1,176740
2024-04-29,83,49,30,4,2024-05-03,New York 2:30,1,1ro,2,2,2,176681
2024-05-01,63,38,7,5,2024-05-06,Quiniela Leidsa,1,1ro,1,1,1,176777
2024-05-02,72,40,59,7,2024-05-09,Quiniela Real,2,2do,1,1,1,176846
2024-05-03,35,49,42,2,2024-05-05,Quiniela Real,3,3ro,1,1,1,176735
2024-05-04,73,48,87,3,2024-05-07,New York 2:30,1,1ro,2,2,2,176794
2024-05-05,69,45,57,2,2024-05-07,New York 10:30,1,1ro,5,4,4,176812
2024-05-06,29,41,53,1,2024-05-07,Quiniela Leidsa,3,3ro,1,1,1,176805
2024-05-06,29,41,63,1,2024-05-07,Quiniela Leidsa,3,3ro,1,1,1,176805
2024-05-06,63,38,53,7,2024-05-13,New York 2:30,2,2do,1,1,1,176962
2024-05-10,41,39,89,3,2024-05-13,Loteria Nacional,2,2do,3,2,3,176972
2024-05-10,94,39,84,3,2024-05-13,Gana Mas,1,1ro,2,2,2,176963
2024-05-13,11,35,57,5,2024-05-18,Gana Mas,2,2do,1,1,1,177107
2024-05-13,27,26,76,2,2024-05-15,Gana Mas,2,2do,2,2,2,177023
2024-05-14,7,42,29,5,2024-05-19,New York 2:30,2,2do,2,2,1,177134
2024-05-14,7,42,35,5,2024-05-19,New York 2:30,2,2do,2,2,1,177134
2024-05-14,29,41,35,2,2024-05-16,Quiniela Loteka,2,2do,2,2,2,177057
2024-05-14,29,41,42,2,2024-05-16,Quiniela Loteka,2,2do,2,2,2,177057
2024-05-14,71,42,41,2,2024-05-16,Quiniela Leidsa,3,3ro,2,2,2,177063
2024-05-16,9,39,22,6,2024-05-22,Loteria Nacional,1,1ro,1,1,1,177225
2024-05-16,94,39,58,6,2024-05-22,Quiniela Loteka,3,3ro,2,2,1,177215
2024-05-17,30,39,3,1,2024-05-18,Loteria Nacional,2,2do,3,1,3,177114
2024-05-18,94,39,84,4,2024-05-22,Quiniela Loteka,3,3ro,2,2,1,177215
2024-05-22,44,43,9,1,2024-05-23,Quiniela Leidsa,3,3ro,2,2,2,177248
2024-05-22,70,44,9,5,2024-05-27,New York 10:30,2,2do,2,2,1,177373
2024-05-23,7,42,35,1,2024-05-24,Quiniela Loteka,1,1ro,1,1,1,177270
2024-05-26,7,42,44,5,2024-05-31,Quiniela Loteka,2,2do,1,1,1,177476
2024-05-26,22,44,42,6,2024-06-01,Loteria Nacional,1,1ro,1,1,1,177507
2024-05-26,70,44,42,1,2024-05-27,New York 10:30,2,2do,2,2,1,177373
2024-05-27,1,34,10,3,2024-05-30,Loteria Nacional,1,1ro,2,2,2,177450
2024-05-31,77,32,23,4,2024-06-04,Quiniela Loteka,2,2do,1,1,1,177588
2024-05-31,87,33,23,3,2024-06-03,Loteria Nacional,2,2do,4,3,4,177564
2024-06-01,77,32,73,3,2024-06-04,Quiniela Loteka,2,2do,3,2,3,177588
2024-06-06,80,45,8,1,2024-06-07,Loteria Nacional,3,3ro,1,1,1,177678
2024-06-07,77,32,87,1,2024-06-08,Gana Mas,1,1ro,2,1,2,177698
2024-06-08,73,48,77,7,2024-06-15,Quiniela Real,1,1ro,1,1,1,177896
2024-06-09,27,26,68,5,2024-06-14,New York 10:30,2,2do,1,1,1,177889
2024-06-12,7,42,53,7,2024-06-19,Loteria Nacional,3,3ro,1,1,1,178027
2024-06-14,73,48,28,1,2024-06-15,Quiniela Real,1,1ro,4,3,3,177896
2024-06-16,30,39,3,2,2024-06-18,Gana Mas,2,2do,1,1,1,177989
2024-06-16,41,39,56,3,2024-06-19,Quiniela Loteka,3,3ro,2,2,2,178022
2024-06-16,83,49,3,2,2024-06-18,New York 10:30,2,2do,2,2,2,178005
2024-06-17,22,44,53,2,2024-06-19,Gana Mas,2,2do,2,1,2,178015
2024-06-17,42,37,22,1,2024-06-18,Quiniela Loteka,3,3ro,1,1,1,177994
2024-06-17,42,37,44,1,2024-06-18,Quiniela Loteka,3,3ro,1,1,1,177994
2024-06-17,42,37,53,1,2024-06-18,Quiniela Loteka,3,3ro,1,1,1,177994
2024-06-21,19,40,46,3,2024-06-24,Quiniela Leidsa,2,2do,2,2,2,178169
2024-06-21,56,40,12,1,2024-06-22,New York 10:30,2,2do,2,2,2,178122
2024-06-25,96,54,15,2,2024-06-27,Loteria Nacional,3,3ro,2,2,2,178258
2024-06-29,63,38,90,4,2024-07-03,New York 10:30,1,1ro,2,2,2,178424
2024-07-02,23,42,77,4,2024-07-06,Gana Mas,3,3ro,1,1,1,178477
2024-07-02,71,42,56,1,2024-07-03,Quiniela Leidsa,3,3ro,1,1,1,178416
2024-07-04,72,40,34,7,2024-07-11,Loteria Nacional,1,1ro,2,1,2,178634
2024-07-07,48,36,93,2,2024-07-09,New York 2:30,1,1ro,2,1,2,178562
2024-07-07,48,36,97,2,2024-07-09,New York 2:30,1,1ro,2,1,2,178562
2024-07-08,45,50,32,2,2024-07-10,Gana Mas,3,3ro,3,2,3,178592
2024-07-09,89,48,41,7,2024-07-16,Gana Mas,2,2do,1,1,1,178768
2024-07-09,93,41,48,2,2024-07-11,New York 10:30,2,2do,3,2,2,178637
2024-07-11,7,42,63,6,2024-07-17,Quiniela Leidsa,2,2do,1,1,1,178806
2024-07-11,50,42,5,3,2024-07-14,Quiniela Real,2,2do,1,1,1,178707
2024-07-12,48,36,97,6,2024-07-18,New York 10:30,3,3ro,1,1,1,178840
2024-07-15,22,44,53,2,2024-07-17,New York 10:30,1,1ro,5,3,4,178814
2024-07-15,70,44,53,4,2024-07-19,Loteria Nacional,1,1ro,2,1,2,178862
2024-07-18,25,30,16,3,2024-07-21,Quiniela Leidsa,3,3ro,3,2,3,178912
2024-07-20,22,44,35,1,2024-07-21,Gana Mas,3,3ro,5,4,4,178911
2024-07-20,59,44,26,4,2024-07-24,New York 10:30,1,1ro,5,3,4,179016
2024-07-20,70,44,35,5,2024-07-25,Quiniela Loteka,2,2do,1,1,1,179032
2024-07-26,13,41,17,1,2024-07-27,Quiniela Real,2,2do,4,4,4,179080
2024-08-01,3,31,83,3,2024-08-04,Quiniela Leidsa,3,3ro,2,2,1,179329
2024-08-02,72,40,34,3,2024-08-05,Gana Mas,2,2do,1,1,1,179342
2024-08-02,87,33,73,6,2024-08-08,New York 10:30,1,1ro,1,1,1,179450
2024-08-04,77,32,23,2,2024-08-06,Quiniela Leidsa,2,2do,2,2,1,179386
2024-08-05,11,35,57,4,2024-08-09,New York 2:30,3,3ro,2,2,2,179460
2024-08-05,44,43,35,1,2024-08-06,New York 2:30,2,2do,3,2,3,179370
2024-08-05,70,44,35,2,2024-08-07,Quiniela Leidsa,3,3ro,1,1,1,179414
2024-08-05,91,44,57,7,2024-08-12,New York 2:30,3,3ro,1,1,1,179545
2024-08-07,70,44,7,7,2024-08-14,Gana Mas,3,3ro,1,1,1,179599
2024-08-09,7,42,29,1,2024-08-10,Quiniela Leidsa,1,1ro,3,3,2,179500
2024-08-11,35,49,7,7,2024-08-18,New York 2:30,3,3ro,1,1,1,179710
2024-08-11,35,49,29,7,2024-08-18,New York 2:30,3,3ro,1,1,1,179710
2024-08-14,57,30,69,5,2024-08-19,Gana Mas,2,2do,3,3,2,179737
2024-08-20,68,47,92,1,2024-08-21,Quiniela Loteka,2,2do,1,1,1,179797
2024-08-21,50,42,5,6,2024-08-27,Quiniela Leidsa,1,1ro,1,1,1,179964
2024-08-22,31,38,74,2,2024-08-24,New York 10:30,2,2do,3,3,2,179886
2024-08-28,29,41,90,7,2024-09-04,Loteria Nacional,1,1ro,1,1,1,180206
2024-08-29,10,37,1,3,2024-09-01,Quiniela Loteka,3,3ro,2,2,2,180122
2024-08-29,42,37,7,2,2024-08-31,Gana Mas,2,2do,3,3,3,180081
2024-08-30,48,36,97,4,2024-09-03,Gana Mas,3,3ro,1,1,1,180169
2024-08-31,32,36,45,4,2024-09-04,Quiniela Real,1,1ro,2,2,2,180194
2024-09-01,53,28,7,2,2024-09-03,Loteria Nacional,2,2do,1,1,1,180177
2024-09-01,53,28,22,2,2024-09-03,Loteria Nacional,2,2do,1,1,1,180177
2024-09-03,82,33,37,1,2024-09-04,New York 2:30,3,3ro,4,4,3,180196
2024-09-03,82,33,65,1,2024-09-04,New York 2:30,3,3ro,4,4,3,180196
2024-09-04,77,32,87,7,2024-09-11,New York 10:30,3,3ro,1,1,1,180415
2024-09-09,9,39,63,1,2024-09-10,New York 2:30,1,1ro,1,1,1,180369
2024-09-09,94,39,84,7,2024-09-16,Loteria Nacional,1,1ro,1,1,1,180555
2024-09-11,22,44,53,2,2024-09-13,Quiniela Loteka,2,2do,2,2,2,180466
2024-09-11,59,44,34,4,2024-09-15,Quiniela Loteka,3,3ro,2,2,2,180529
2024-09-11,63,38,44,5,2024-09-16,New York 2:30,1,1ro,2,1,1,180545
2024-09-11,63,38,53,5,2024-09-16,New York 2:30,1,1ro,2,1,1,180545
2024-09-12,53,28,35,5,2024-09-17,New York 10:30,2,2do,1,1,1,180586
2024-09-12,54,35,14,4,2024-09-16,New York 2:30,3,3ro,1,1,1,180545
2024-09-12,86,35,46,1,2024-09-13,Gana Mas,1,1ro,3,3,3,180460
2024-09-12,90,46,35,2,2024-09-14,New York 2:30,3,3ro,2,2,2,180488
2024-09-13,19,40,86,1,2024-09-14,New York 2:30,2,2do,6,5,4,180488
2024-09-13,29,41,35,5,2024-09-18,New York 10:30,2,2do,1,1,1,180616
2024-09-13,67,40,79,3,2024-09-16,Loteria Nacional,2,2do,1,1,1,180555
2024-09-15,93,41,97,3,2024-09-18,Quiniela Loteka,1,1ro,1,1,1,180604
2024-09-17,23,42,77,3,2024-09-20,Loteria Nacional,2,2do,3,2,3,180662
2024-09-17,65,52,82,6,2024-09-23,Quiniela Real,1,1ro,1,1,1,180726
2024-09-18,19,40,86,1,2024-09-19,Quiniela Real,3,3ro,3,3,3,180623
2024-09-19,51,40,21,1,2024-09-20,Quiniela Leidsa,2,2do,2,2,1,180663
2024-09-20,22,44,42,3,2024-09-23,Loteria Nacional,3,3ro,2,2,2,180740
2024-09-20,46,39,19,5,2024-09-25,Loteria Nacional,1,1ro,1,1,1,180795
2024-09-20,59,44,72,1,2024-09-21,Loteria Nacional,1,1ro,2,2,2,180688
2024-09-21,34,51,59,5,2024-09-26,Gana Mas,3,3ro,2,1,2,180814
2024-09-23,29,41,53,2,2024-09-25,Gana Mas,3,3ro,2,2,1,180785
2024-09-27,27,26,76,7,2024-10-04,Quiniela Loteka,3,3ro,1,1,1,181051
2024-09-29,86,35,19,1,2024-09-30,Quiniela Leidsa,2,2do,2,2,2,180939
2024-09-30,86,35,46,4,2024-10-04,Quiniela Loteka,2,2do,1,1,1,181051
2024-09-30,90,46,22,5,2024-10-05,Quiniela Real,1,1ro,1,1,1,181069
2024-09-30,90,46,35,5,2024-10-05,Quiniela Real,1,1ro,1,1,1,181069
2024-09-30,90,46,63,5,2024-10-05,Quiniela Real,1,1ro,1,1,1,181069
2024-10-01,72,40,26,2,2024-10-03,Quiniela Loteka,1,1ro,5,3,4,181020
2024-10-01,77,32,28,3,2024-10-04,Loteria Nacional,1,1ro,2,2,2,181054
2024-10-05,9,39,90,2,2024-10-07,Quiniela Loteka,2,2do,3,3,3,181132
2024-10-05,14,39,54,7,2024-10-12,New York 2:30,3,3ro,2,1,2,181270
2024-10-05,69,45,11,2,2024-10-07,Quiniela Leidsa,2,2do,1,1,1,181137
2024-10-08,7,42,90,2,2024-10-10,Quiniela Loteka,1,1ro,1,1,1,181218
2024-10-08,9,39,42,1,2024-10-09,Gana Mas,1,1ro,3,3,3,181184
2024-10-08,9,39,90,1,2024-10-09,Gana Mas,1,1ro,3,3,3,181184
2024-10-08,30,39,83,3,2024-10-11,Loteria Nacional,1,1ro,2,2,2,181253
2024-10-10,37,46,65,7,2024-10-17,Gana Mas,3,3ro,1,1,1,181412
2024-10-10,90,46,7,3,2024-10-13,Quiniela Real,1,1ro,1,1,1,181295
2024-10-10,90,46,9,3,2024-10-13,Quiniela Real,1,1ro,1,1,1,181295
2024-10-11,83,49,30,7,2024-10-18,Quiniela Loteka,2,2do,1,1,1,181446
2024-10-12,69,45,91,6,2024-10-18,Quiniela Real,2,2do,1,1,1,181435
2024-10-15,77,32,23,7,2024-10-22,Quiniela Real,2,2do,1,1,1,181550
2024-10-15,77,32,73,7,2024-10-22,Quiniela Real,2,2do,1,1,1,181550
2024-10-16,12,43,71,7,2024-10-23,New York 2:30,3,3ro,1,1,1,181583
2024-10-19,8,40,80,2,2024-10-21,New York 10:30,3,3ro,2,1,2,181543
2024-10-21,92,43,27,5,2024-10-26,Loteria Nacional,3,3ro,2,2,2,181686
2024-10-22,57,30,11,2,2024-10-24,New York 10:30,3,3ro,3,3,2,181633
2024-10-23,73,48,87,3,2024-10-26,Gana Mas,2,2do,1,1,1,181675
2024-10-24,20,38,2,1,2024-10-25,Quiniela Leidsa,1,1ro,3,2,3,181657
2024-10-28,11,35,69,4,2024-11-01,New York 10:30,1,1ro,1,1,1,181863
2024-10-28,11,35,91,4,2024-11-01,New York 10:30,1,1ro,1,1,1,181863
2024-10-29,63,38,53,1,2024-10-30,Loteria Nacional,1,1ro,5,3,4,181800
2024-10-30,70,44,63,4,2024-11-03,Gana Mas,3,3ro,2,1,2,181901
2024-11-03,73,48,87,1,2024-11-04,Quiniela Leidsa,1,1ro,3,3,3,181935
2024-11-03,90,46,70,1,2024-11-04,Gana Mas,1,1ro,3,2,3,181927
2024-11-05,73,48,87,1,2024-11-06,Gana Mas,3,3ro,2,2,2,181983
2024-11-06,21,28,51,4,2024-11-10,Loteria Nacional,2,2do,1,1,1,182119
2024-11-06,53,28,90,2,2024-11-08,Loteria Nacional,1,1ro,2,2,2,182063
2024-11-06,77,32,28,2,2024-11-08,Loteria Nacional,2,2do,1,1,1,182063
2024-11-16,67,40,79,2,2024-11-18,Loteria Nacional,2,2do,3,3,3,182341
2024-11-17,63,38,35,1,2024-11-18,New York 10:30,2,2do,3,3,2,182665
2024-11-17,63,38,70,1,2024-11-18,New York 10:30,2,2do,3,3,2,182665
2024-11-18,30,39,3,2,2024-11-20,Quiniela Leidsa,1,1ro,1,1,1,182400
2024-11-21,7,42,44,2,2024-11-23,New York 10:30,3,3ro,2,2,2,182495
2024-11-21,22,44,42,2,2024-11-23,Gana Mas,3,3ro,2,1,2,182475
2024-11-21,53,28,42,1,2024-11-22,Quiniela Loteka,3,3ro,1,1,1,182453
2024-11-21,53,28,44,1,2024-11-22,Quiniela Loteka,3,3ro,1,1,1,182453
2024-11-21,59,44,72,3,2024-11-24,New York 2:30,1,1ro,3,2,3,182504
2024-11-21,70,44,42,3,2024-11-24,Gana Mas,3,3ro,1,1,1,182503
2024-11-24,35,49,9,5,2024-11-29,New York 2:30,1,1ro,1,1,1,182647
2024-11-26,48,36,97,2,2024-11-28,Loteria Nacional,2,2do,2,2,2,182628
2024-11-26,67,40,79,1,2024-11-27,Loteria Nacional,1,1ro,4,2,3,182599
2024-11-29,72,40,34,1,2024-11-30,Loteria Nacional,3,3ro,2,2,2,182686
2024-11-29,76,34,92,6,2024-12-05,Quiniela Real,2,2do,2,1,1,182824
2024-12-03,79,47,67,1,2024-12-04,New York 10:30,2,2do,2,2,2,182815
2024-12-04,84,47,94,3,2024-12-07,Quiniela Loteka,2,2do,3,3,3,182892
2024-12-06,31,38,74,5,2024-12-11,Quiniela Real,3,3ro,2,2,2,182996
2024-12-09,6,35,60,1,2024-12-10,Gana Mas,1,1ro,3,3,3,182970
2024-12-10,69,45,91,3,2024-12-13,New York 10:30,2,2do,2,2,2,183074
2024-12-12,52,38,85,1,2024-12-13,Gana Mas,1,1ro,1,1,1,183056
2024-12-12,63,38,35,4,2024-12-16,New York 10:30,2,2do,1,1,1,183168
2024-12-13,35,49,22,5,2024-12-18,Loteria Nacional,3,3ro,1,1,1,183474
2024-12-13,97,52,48,2,2024-12-15,Quiniela Loteka,1,1ro,2,2,2,183130
2024-12-19,35,49,42,3,2024-12-22,Quiniela Real,2,2do,2,2,2,183663
2024-12-19,37,46,82,4,2024-12-23,New York 2:30,2,2do,1,1,1,183697
2024-12-19,90,46,42,2,2024-12-21,Gana Mas,2,2do,5,3,4,183636
2024-12-21,63,38,9,3,2024-12-24,New York 2:30,2,2do,1,1,1,183724
2024-12-21,63,38,90,3,2024-12-24,New York 2:30,2,2do,1,1,1,183724
2024-12-23,19,40,86,6,2024-12-29,Loteria Nacional,3,3ro,1,1,1,183849
2024-12-28,83,49,3,1,2024-12-29,Gana Mas,1,1ro,2,1,2,183840
2024-12-29,9,39,35,1,2024-12-30,Gana Mas,2,2do,3,3,3,183866
2024-12-29,53,28,35,4,2025-01-02,Quiniela Leidsa,3,3ro,3,3,3,183943
2024-12-30,53,28,22,3,2025-01-02,Quiniela Leidsa,3,3ro,4,4,4,183943
2024-12-30,68,47,92,7,2025-01-06,New York 2:30,3,3ro,1,1,1,184054
2025-01-04,22,44,53,1,2025-01-05,Loteria Nacional,3,3ro,1,1,1,184043
2025-01-04,91,44,57,1,2025-01-05,Quiniela Real,2,2do,1,1,1,184050
2025-01-08,57,30,11,2,2025-01-10,Quiniela Real,1,1ro,2,2,2,184166
2025-01-08,83,49,30,3,2025-01-11,New York 10:30,1,1ro,2,2,2,184217
2025-01-09,56,40,71,2,2025-01-11,Quiniela Real,3,3ro,3,3,2,184193
2025-01-10,56,40,41,1,2025-01-11,Quiniela Real,3,3ro,3,3,2,184193
2025-01-10,72,40,26,2,2025-01-12,Loteria Nacional,1,1ro,6,5,5,184238
2025-01-10,72,40,34,2,2025-01-12,Loteria Nacional,1,1ro,6,5,5,184238
2025-01-11,7,42,63,2,2025-01-13,New York 10:30,2,2do,3,3,3,184273
2025-01-12,26,28,72,2,2025-01-14,Gana Mas,1,1ro,3,1,2,184284
2025-01-12,53,28,22,3,2025-01-15,Quiniela Loteka,1,1ro,1,1,1,184318
2025-01-12,53,28,90,3,2025-01-15,Quiniela Loteka,1,1ro,1,1,1,184318
2025-01-15,89,48,71,6,2025-01-21,Quiniela Loteka,2,2do,1,1,1,184493
2025-01-22,14,39,54,1,2025-01-23,Quiniela Real,3,3ro,2,2,2,184537
2025-01-22,41,39,12,3,2025-01-25,Quiniela Real,3,3ro,1,1,1,184592
2025-01-22,41,39,71,3,2025-01-25,Quiniela Real,3,3ro,1,1,1,184592
2025-01-23,90,46,42,4,2025-01-27,New York 2:30,1,1ro,2,2,2,184654
2025-01-24,27,26,68,1,2025-01-25,Loteria Nacional,1,1ro,5,4,3,184607
2025-01-25,77,32,28,1,2025-01-26,New York 2:30,1,1ro,1,1,1,184626
2025-01-28,44,43,9,2,2025-01-30,Loteria Nacional,3,3ro,2,2,2,184752
2025-01-28,53,28,9,5,2025-02-02,Quiniela Real,1,1ro,1,1,1,184827
2025-01-29,3,31,83,2,2025-01-31,New York 2:30,1,1ro,1,1,1,184771
2025-01-30,19,40,86,3,2025-02-02,Loteria Nacional,3,3ro,2,1,2,184839
2025-01-31,48,36,93,1,2025-02-01,Quiniela Real,2,2do,1,1,1,184798
2025-02-02,15,29,96,1,2025-02-03,New York 10:30,3,3ro,3,3,3,184874
2025-02-04,35,49,44,2,2025-02-06,Gana Mas,3,3ro,1,1,1,184943
2025-02-05,63,38,7,4,2025-02-09,Loteria Nacional,2,2do,3,2,2,185043
2025-02-08,84,47,58,3,2025-02-11,Quiniela Leidsa,2,2do,1,1,1,185105
2025-02-11,63,38,7,3,2025-02-14,Quiniela Real,3,3ro,2,2,2,185183
2025-02-12,73,48,77,2,2025-02-14,New York 10:30,2,2do,3,3,2,185204
2025-02-12,76,34,92,3,2025-02-15,New York 10:30,2,2do,1,1,1,185251
2025-02-23,22,44,29,2,2025-02-25,Loteria Nacional,1,1ro,2,2,1,185519
2025-02-23,44,43,29,2,2025-02-25,Quiniela Leidsa,2,2do,2,2,2,185515
2025-02-28,56,40,89,6,2025-03-06,Quiniela Loteka,1,1ro,1,1,1,185801
2025-03-02,53,28,22,7,2025-03-09,Quiniela Loteka,1,1ro,1,1,1,185870
2025-03-02,53,28,44,7,2025-03-09,Quiniela Loteka,1,1ro,1,1,1,185870
2025-03-02,70,44,22,2,2025-03-04,Loteria Nacional,1,1ro,3,2,3,185725
2025-03-02,70,44,53,2,2025-03-04,Loteria Nacional,1,1ro,3,2,3,185725
2025-03-03,70,44,42,1,2025-03-04,Loteria Nacional,1,1ro,5,3,4,185725
2025-03-07,12,43,71,6,2025-03-13,Quiniela Loteka,2,2do,1,1,1,185986
2025-03-07,28,43,87,4,2025-03-11,Quiniela Loteka,1,1ro,1,1,1,185922
2025-03-07,56,40,71,2,2025-03-09,Quiniela Leidsa,1,1ro,3,3,3,185862
2025-03-07,92,43,27,6,2025-03-13,Loteria Nacional,3,3ro,1,1,1,185989
2025-03-07,92,43,76,6,2025-03-13,Loteria Nacional,3,3ro,1,1,1,185989
2025-03-09,42,37,44,5,2025-03-14,Quiniela Leidsa,2,2do,1,1,1,186019
2025-03-09,42,37,53,5,2025-03-14,Quiniela Leidsa,2,2do,1,1,1,186019
2025-03-09,70,44,53,1,2025-03-10,Quiniela Loteka,2,2do,3,2,3,185892
2025-03-10,1,34,10,1,2025-03-11,New York 10:30,3,3ro,3,3,3,185935
2025-03-11,26,28,72,3,2025-03-14,Quiniela Real,3,3ro,1,1,1,186005
2025-03-11,73,48,28,4,2025-03-15,Quiniela Loteka,1,1ro,1,1,1,186042
2025-03-12,52,38,81,6,2025-03-18,New York 10:30,3,3ro,1,1,1,186136
2025-03-12,63,38,35,2,2025-03-14,New York 10:30,2,2do,2,2,2,186025
2025-03-15,93,41,97,1,2025-03-16,Quiniela Real,3,3ro,3,3,3,186062
2025-03-16,42,37,44,2,2025-03-18,New York 2:30,2,2do,4,3,3,186119
2025-03-17,54,35,14,6,2025-03-23,New York 10:30,2,2do,2,2,2,186302
2025-03-19,3,31,30,2,2025-03-21,Loteria Nacional,2,2do,1,1,1,186212
2025-03-21,22,44,90,2,2025-03-23,New York 10:30,1,1ro,2,2,2,186302
2025-03-22,69,45,91,5,2025-03-27,Quiniela Real,2,2do,2,2,2,186376
2025-03-22,73,48,23,3,2025-03-25,Quiniela Loteka,2,2do,2,2,2,186321
2025-03-24,53,28,44,4,2025-03-28,New York 10:30,3,3ro,1,1,1,186422
2025-03-24,73,48,28,1,2025-03-25,Quiniela Loteka,2,2do,4,4,4,186321
2025-03-24,91,44,11,1,2025-03-25,Gana Mas,2,2do,2,2,1,186316
2025-03-29,83,49,3,1,2025-03-30,Loteria Nacional,3,3ro,3,3,3,186473
2025-04-01,10,37,1,2,2025-04-03,Gana Mas,1,1ro,1,1,1,186574
2025-04-01,42,37,44,2,2025-04-03,Loteria Nacional,1,1ro,3,2,3,186585
2025-04-02,70,44,90,1,2025-04-03,Quiniela Real,1,1ro,4,4,3,186570
2025-04-03,7,42,44,5,2025-04-08,Quiniela Leidsa,2,2do,1,1,1,186725
2025-04-03,7,42,70,5,2025-04-08,Quiniela Leidsa,2,2do,1,1,1,186725
2025-04-03,70,44,42,2,2025-04-05,Quiniela Loteka,3,3ro,4,4,2,186633
2025-04-03,71,42,56,5,2025-04-08,New York 2:30,3,3ro,1,1,1,186715
2025-04-08,87,33,28,1,2025-04-09,Gana Mas,2,2do,1,1,1,186743
2025-04-10,9,39,70,7,2025-04-17,Quiniela Loteka,1,1ro,1,1,1,186983
2025-04-11,88,31,79,4,2025-04-15,Quiniela Leidsa,1,1ro,1,1,1,186931
2025-04-13,90,46,70,6,2025-04-19,New York 2:30,2,2do,1,1,1,187007
2025-04-14,57,30,69,2,2025-04-16,Quiniela Leidsa,2,2do,1,1,1,186961
2025-04-17,44,43,9,7,2025-04-24,Loteria Nacional,1,1ro,1,1,1,187166
2025-04-19,42,37,63,4,2025-04-23,New York 10:30,3,3ro,1,1,1,187143
2025-04-20,26,28,59,5,2025-04-25,Quiniela Real,2,2do,1,1,1,187178
2025-04-20,53,28,63,2,2025-04-22,Loteria Nacional,3,3ro,1,1,1,187106
2025-04-20,53,28,70,2,2025-04-22,Loteria Nacional,3,3ro,1,1,1,187106
2025-04-21,87,33,28,6,2025-04-27,New York 2:30,2,2do,2,1,2,187242
2025-04-23,26,28,34,2,2025-04-25,Quiniela Real,2,2do,2,2,2,187178
2025-04-24,35,49,44,5,2025-04-29,Loteria Nacional,3,3ro,1,1,1,187314
2025-04-24,69,45,57,2,2025-04-26,Quiniela Leidsa,2,2do,1,1,1,187244
