case_date,fuerte,result,day_offset,t2_pos_fuerte,t2_pos_result,t2_dist,lottery,draw_position,labels
2019-07-27,90,42,5,11,6,-5,New York 10:30,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-07-27,90,29,5,11,4,-7,New York 10:30,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-07-27,90,90,5,11,11,0,Quiniela Leidsa,2,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-07-27,90,53,5,11,8,-3,Quiniela Loteka,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-07-27,90,42,7,11,6,-5,Gana Mas,2,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-07-27,90,63,7,11,9,-2,Loteria Nacional,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-07-27,90,90,7,11,11,0,New York 2:30,2,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-07-29,5,50,6,1,2,1,Loteria Nacional,2,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|CONFIRMADOR_ORIGINAL
2019-07-29,10,1,1,2,1,-1,Quiniela Loteka,2,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|CONFIRMADOR_ORIGINAL
2019-07-29,10,10,2,2,2,0,New York 10:30,1,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-07-29,10,1,3,2,1,-1,Gana Mas,2,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|CONFIRMADOR_ORIGINAL
2019-07-29,10,10,4,2,2,0,Gana Mas,3,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-07-29,10,1,4,2,1,-1,Quiniela Real,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|CONFIRMADOR_ORIGINAL
2019-07-30,93,48,4,2,1,-1,New York 2:30,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-07-30,93,93,6,2,2,0,Quiniela Real,1,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-01,23,28,1,1,2,1,Loteria Nacional,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-08-01,23,87,1,1,5,4,New York 2:30,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-01,23,23,2,1,1,0,Quiniela Leidsa,3,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-01,23,28,4,1,2,1,Quiniela Leidsa,2,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-08-01,23,73,5,1,3,2,Quiniela Real,2,MISMO_GRUPO_T2|MISMO_CODIGO_T2|CONFIRMADOR_ORIGINAL
2019-08-01,23,28,6,1,2,1,Loteria Nacional,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-08-01,23,28,6,1,2,1,New York 2:30,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-08-01,23,73,7,1,3,2,Quiniela Loteka,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|CONFIRMADOR_ORIGINAL
2019-08-01,71,71,1,4,4,0,Gana Mas,2,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-01,71,71,3,4,4,0,Quiniela Real,1,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
