activation_id,case_date,year,origin,origin_lottery,origin_draw_position,origin_source,fuerte,confirmer,confirmer_lottery,confirmer_draw_position,confirmer_source,t1_candidates,t1_group_fuerte,t1_pos_fuerte,t2_group_fuerte,t2_pos_fuerte,t2_pos_confirmer,n_confirmers,n_fuertes_same_day,other_fuertes,fuerte_appeared,first_day_offset,first_lottery,first_draw_position,fuerte_appearance_count,methodology
2019-08-11|37|42|9,2019-08-11,2019,37,Quiniela Loteka,1,1278,42,9,Quiniela Real,1,36029,5|10|42,5|10|42,3,7|9|22|29|35|42|44|53|63|70|90,6,2,1,4,29|89|93,True,2,Quiniela Leidsa,2,2,nr-historical-relations-j1.0.0
2019-08-11|48|89|41,2019-08-11,2019,48,Quiniela Leidsa,1,116719,89,41,New York 10:30,1,50075,73|89,73|89,2,12|41|56|71|89,5,2,1,4,29|42|93,True,1,Quiniela Loteka,3,3,nr-historical-relations-j1.0.0
2019-08-11|41|93|48,2019-08-11,2019,41,New York 10:30,1,50075,93,48,Quiniela Leidsa,1,116719,13|29|93,13|29|93,3,48|93|97,2,1,1,4,29|42|89,True,1,New York 10:30,2,1,nr-historical-relations-j1.0.0
2019-08-12|36|85|52,2019-08-12,2019,36,New York 10:30,1,50074,85,52,Quiniela Real,1,36028,32|48|64|85,32|48|64|85,4,52|81|85,3,1,1,1,,True,2,Quiniela Real,1,1,nr-historical-relations-j1.0.0
2019-08-13|47|68|76,2019-08-13,2019,47,Gana Mas,1,163126,68,76,Loteria Nacional,1,109195,4|36|68|79|84,4|36|68|79|84,3,27|68|76|92,2,3,1,2,84,False,,,,0,nr-historical-relations-j1.0.0
2019-08-13|47|84|94,2019-08-13,2019,47,Gana Mas,1,163126,84,94,Quiniela Real,1,36027,4|36|68|79|84,4|36|68|79|84,5,58|84|94,2,3,1,2,68,True,1,New York 2:30,3,3,nr-historical-relations-j1.0.0
2019-08-14|38|52|85,2019-08-14,2019,38,New York 2:30,2,47609,52,85,Quiniela Real,1,36026,20|31|47|52|63|100,20|31|47|52|63|100,4,52|81|85,1,3,1,1,,True,3,Loteria Nacional,2,1,nr-historical-relations-j1.0.0
2019-08-15|33|87|77,2019-08-15,2019,33,Quiniela Leidsa,1,116715,87,77,Quiniela Loteka,1,1274,2|39|82|87,2|39|82|87,4,23|28|73|77|87,5,4,1,1,,True,6,New York 10:30,3,2,nr-historical-relations-j1.0.0
2019-08-17|42|71|12,2019-08-17,2019,42,Gana Mas,1,163123,71,12,Quiniela Leidsa,1,116713,7|18|23|50|55|66|71,7|18|23|50|55|66|71,7,12|41|56|71|89,4,1,1,1,,True,1,Quiniela Loteka,3,1,nr-historical-relations-j1.0.0
2019-08-18|44|22|7,2019-08-18,2019,44,New York 10:30,1,50068,22,7,Quiniela Leidsa,1,116712,22|59|70|75|91,22|59|70|75|91,1,7|9|22|29|35|42|44|53|63|70|90,3,1,1,2,70,True,2,New York 2:30,1,2,nr-historical-relations-j1.0.0
2019-08-18|44|70|7,2019-08-18,2019,44,New York 10:30,1,50068,70,7,Quiniela Leidsa,1,116712,22|59|70|75|91,22|59|70|75|91,3,7|9|22|29|35|42|44|53|63|70|90,10,1,1,2,22,False,,,,0,nr-historical-relations-j1.0.0
2019-08-20|41|29|22,2019-08-20,2019,41,Quiniela Real,1,36020,29,22,New York 2:30,1,47603,13|29|93,13|29|93,2,7|9|22|29|35|42|44|53|63|70|90,4,3,1,2,69,False,,,,0,nr-historical-relations-j1.0.0
2019-08-20|45|69|57,2019-08-20,2019,45,New York 10:30,1,50066,69,57,Loteria Nacional,1,109189,69|80,69|80,1,11|57|69|91,3,2,1,2,29,False,,,,0,nr-historical-relations-j1.0.0
2019-08-21|45|80|8,2019-08-21,2019,45,Quiniela Leidsa,1,116709,80,8,Gana Mas,1,163119,69|80,69|80,2,8|80,2,1,1,1,,True,4,New York 2:30,3,2,nr-historical-relations-j1.0.0
2019-08-23|46|90|42,2019-08-23,2019,46,Quiniela Leidsa,1,116707,90,42,New York 2:30,1,47600,37|58|74|90,37|58|74|90,4,7|9|22|29|35|42|44|53|63|70|90,11,6,1,1,,False,,,,0,nr-historical-relations-j1.0.0
2019-08-26|42|50|5,2019-08-26,2019,42,Loteria Nacional,1,109183,50,5,New York 2:30,1,47597,7|18|23|50|55|66|71,7|18|23|50|55|66|71,4,5|50,2,1,1,1,,True,3,Quiniela Leidsa,2,5,nr-historical-relations-j1.0.0
2019-08-27|43|28|77,2019-08-27,2019,43,New York 10:30,1,50059,28,77,Gana Mas,1,163113,12|28|44|60|81|92,12|28|44|60|81|92,2,23|28|73|77|87,2,4,1,2,44,True,5,Quiniela Leidsa,1,1,nr-historical-relations-j1.0.0
2019-08-27|43|44|53,2019-08-27,2019,43,New York 10:30,1,50059,44,53,Quiniela Leidsa,1,116703,12|28|44|60|81|92,12|28|44|60|81|92,3,7|9|22|29|35|42|44|53|63|70|90,7,8,2,2,28,True,4,Gana Mas,2,1,nr-historical-relations-j1.0.0
2019-08-27|43|44|63,2019-08-27,2019,43,New York 10:30,1,50059,44,63,New York 2:30,1,47596,12|28|44|60|81|92,12|28|44|60|81|92,3,7|9|22|29|35|42|44|53|63|70|90,7,9,2,2,28,True,4,Gana Mas,2,1,nr-historical-relations-j1.0.0
2019-08-28|37|10|1,2019-08-28,2019,37,Quiniela Leidsa,1,116702,10,1,New York 2:30,1,47595,5|10|42,5|10|42,2,1|10|100,2,1,1,2,42,True,1,Gana Mas,2,5,nr-historical-relations-j1.0.0
2019-08-28|37|42|29,2019-08-28,2019,37,Quiniela Leidsa,1,116702,42,29,Quiniela Real,1,36012,5|10|42,5|10|42,3,7|9|22|29|35|42|44|53|63|70|90,6,4,1,2,10,True,4,Quiniela Real,2,1,nr-historical-relations-j1.0.0
2019-09-02|49|83|3,2019-09-02,2019,49,Loteria Nacional,1,109176,83,3,Quiniela Loteka,1,1256,35|40|83,35|40|83,3,3|30|83,3,1,1,1,,False,,,,0,nr-historical-relations-j1.0.0
2019-09-03|49|40|4,2019-09-03,2019,49,Quiniela Real,1,36006,40,4,Quiniela Leidsa,1,116696,35|40|83,35|40|83,2,4|40,2,1,1,2,68,True,5,Quiniela Loteka,3,1,nr-historical-relations-j1.0.0
2019-09-03|47|68|92,2019-09-03,2019,47,Loteria Nacional,1,109175,68,92,Quiniela Loteka,1,1255,4|36|68|79|84,4|36|68|79|84,3,27|68|76|92,2,4,1,2,40,False,,,,0,nr-historical-relations-j1.0.0
2019-09-04|52|65|37,2019-09-04,2019,52,Quiniela Real,1,36005,65,37,Quiniela Leidsa,1,116695,65|97,65|97,1,37|65|82,2,1,1,1,,False,,,,0,nr-historical-relations-j1.0.0
2019-09-07|51|34|59,2019-09-07,2019,51,Loteria Nacional,1,109171,34,59,Quiniela Loteka,1,1251,34|98,34|98,1,26|34|59|72,2,3,1,2,91,True,3,Loteria Nacional,3,3,nr-historical-relations-j1.0.0
2019-09-07|44|91|57,2019-09-07,2019,44,Quiniela Leidsa,1,116692,91,57,Quiniela Real,1,36002,22|59|70|75|91,22|59|70|75|91,5,11|57|69|91,4,2,1,2,34,True,1,Quiniela Real,1,3,nr-historical-relations-j1.0.0
2019-09-08|35|11|91,2019-09-08,2019,35,New York 2:30,1,47584,11,91,Quiniela Real,1,36001,6|11|43|54|86,6|11|43|54|86,2,11|57|69|91,1,4,1,2,53,True,2,Quiniela Real,2,2,nr-historical-relations-j1.0.0
2019-09-08|28|53|35,2019-09-08,2019,28,Quiniela Loteka,1,1250,53,35,New York 2:30,1,47584,21|26|53,21|26|53,3,7|9|22|29|35|42|44|53|63|70|90,8,5,1,2,11,True,2,New York 10:30,2,2,nr-historical-relations-j1.0.0
2019-09-11|37|42|22,2019-09-11,2019,37,Quiniela Real,1,35998,42,22,New York 2:30,1,47581,5|10|42,5|10|42,3,7|9|22|29|35|42|44|53|63|70|90,6,3,1,3,65|76,True,1,New York 2:30,2,2,nr-historical-relations-j1.0.0
2019-09-11|52|65|37,2019-09-11,2019,52,Quiniela Loteka,1,1247,65,37,Quiniela Real,1,35998,65|97,65|97,1,37|65|82,2,1,1,3,42|76,True,7,Quiniela Leidsa,2,1,nr-historical-relations-j1.0.0
2019-09-11|34|76|27,2019-09-11,2019,34,New York 10:30,1,50044,76,27,Gana Mas,1,163099,1|17|33|49|76,1|17|33|49|76,5,27|68|76|92,3,1,1,3,42|65,True,3,Loteria Nacional,1,2,nr-historical-relations-j1.0.0
2019-09-12|43|44|63,2019-09-12,2019,43,Quiniela Real,1,35997,44,63,Quiniela Leidsa,1,116687,12|28|44|60|81|92,12|28|44|60|81|92,3,7|9|22|29|35|42|44|53|63|70|90,7,9,1,3,76|92,False,,,,0,nr-historical-relations-j1.0.0
2019-09-12|34|76|68,2019-09-12,2019,34,New York 2:30,1,47580,76,68,New York 10:30,1,50043,1|17|33|49|76,1|17|33|49|76,5,27|68|76|92,3,2,1,3,44|92,True,2,Loteria Nacional,1,2,nr-historical-relations-j1.0.0
2019-09-12|43|92|68,2019-09-12,2019,43,Quiniela Real,1,35997,92,68,New York 10:30,1,50043,12|28|44|60|81|92,12|28|44|60|81|92,6,27|68|76|92,4,2,1,3,44|76,False,,,,0,nr-historical-relations-j1.0.0
2019-09-14|27|16|25,2019-09-14,2019,27,Quiniela Leidsa,1,116685,16,25,New York 10:30,1,50041,16,16,1,16|25,1,2,1,1,,True,5,Quiniela Loteka,1,1,nr-historical-relations-j1.0.0
2019-09-15|40|56|89,2019-09-15,2019,40,New York 10:30,1,50040,56,89,Quiniela Real,1,35994,8|19|51|56|67|72,8|19|51|56|67|72,4,12|41|56|71|89,3,5,1,1,,True,3,Quiniela Real,3,2,nr-historical-relations-j1.0.0
