case_date,fuerte,origin,confirmer,t1_group,t1_pos_fuerte,first_t1_companion,first_t1_dist,first_t1_pos,first_t1_day,first_t1_lottery,first_t1_draw_position,first_related,first_related_primary,first_related_day,other_fuertes
2022-01-06,76,34,92,1|17|33|49|76,5,1,-4,1,2,Quiniela Loteka,1,77,RELACION_DE_TERCER_NIVEL,1,1
2022-01-31,26,28,59,21|26|53,2,21,-1,1,3,Gana Mas,2,55,RELACION_DE_TERCER_NIVEL,1,
2022-02-02,73,48,23,73|89,1,89,1,2,1,New York 10:30,3,14,RELACION_DE_TERCER_NIVEL,1,89
2022-02-05,85,36,81,32|48|64|85,4,64,-1,3,1,Gana Mas,3,63,RELACION_DE_SEGUNDO_NIVEL,1,
2022-02-24,12,43,89,12|28|44|60|81|92,1,81,4,5,1,Quiniela Leidsa,3,84,RELACION_DE_TERCER_NIVEL,1,44|92
2022-02-24,92,43,27,12|28|44|60|81|92,6,81,-1,5,1,Quiniela Leidsa,3,84,RELACION_DE_SEGUNDO_NIVEL,1,12|44
2022-02-25,56,40,41,8|19|51|56|67|72,4,19,-2,2,1,Quiniela Loteka,3,22,RELACION_DE_TERCER_NIVEL,1,13|89|93
2022-02-28,59,44,26,22|59|70|75|91,2,22,-1,1,1,Gana Mas,1,22,MISMO_GRUPO_T1,1,26|53|63|70
2022-03-01,75,44,62,22|59|70|75|91,4,70,-1,3,2,Quiniela Leidsa,2,21,RELACION_DE_TERCER_NIVEL,1,70
2022-03-05,74,46,31,37|58|74|90,3,90,1,4,5,Quiniela Loteka,1,28,RELACION_DE_TERCER_NIVEL,1,22|70|90
2022-03-06,53,28,35,21|26|53,3,26,-1,2,1,Loteria Nacional,2,27,RELACION_DE_TERCER_NIVEL,1,11
2022-03-08,20,38,2,20|31|47|52|63|100,1,52,3,4,5,Loteria Nacional,1,10,RELACION_DE_SEGUNDO_NIVEL,1,
2022-03-09,48,36,93,32|48|64|85,2,85,2,4,2,Gana Mas,1,42,RELACION_DE_TERCER_NIVEL,1,
2022-03-16,39,33,78,2|39|82|87,2,82,1,3,1,Quiniela Leidsa,3,9,COMPANERO_DEL_CONFIRMADOR,1,56
2022-03-17,50,42,5,7|18|23|50|55|66|71,4,71,3,7,2,Loteria Nacional,2,74,RELACION_DE_TERCER_NIVEL,1,7
2022-03-22,96,54,15,96,1,,,,,,,98,CANDIDATO_ORIGINAL_ALTERNATIVO,1,21
2022-03-24,89,48,12,73|89,2,73,-1,1,2,Quiniela Loteka,2,19,RELACION_DE_SEGUNDO_NIVEL,1,
2022-03-25,27,26,76,27|38,1,38,1,2,2,New York 10:30,1,90,RELACION_DE_TERCER_NIVEL,1,68|69
2022-03-27,20,38,2,20|31|47|52|63|100,1,31,1,2,1,Quiniela Loteka,3,53,RELACION_DE_SEGUNDO_NIVEL,1,29|63|70
2022-03-27,63,38,22,20|31|47|52|63|100,5,31,-3,2,1,Quiniela Loteka,3,53,MISMO_GRUPO_T2,1,20|29|70
2022-03-27,70,44,22,22|59|70|75|91,3,22,-2,1,2,Gana Mas,1,53,MISMO_GRUPO_T2,1,20|29|63
2022-03-31,89,48,41,73|89,2,73,-1,1,3,Quiniela Loteka,2,23,RELACION_DE_SEGUNDO_NIVEL,1,22|29|70|93
2022-04-07,57,30,11,25|57,2,25,-1,1,4,Loteria Nacional,1,75,RELACION_DE_SEGUNDO_NIVEL,1,
2022-04-10,42,37,29,5|10|42,3,,,,,,,51,RELACION_DE_TERCER_NIVEL,1,
2022-04-17,22,44,53,22|59|70|75|91,1,91,4,5,3,Gana Mas,3,12,RELACION_DE_SEGUNDO_NIVEL,1,45|70
2022-04-17,45,50,32,45,1,,,,,,,32,MISMO_GRUPO_T2,1,22|70
2022-04-21,71,42,56,7|18|23|50|55|66|71,7,7,-6,1,1,Loteria Nacional,2,29,RELACION_DE_SEGUNDO_NIVEL,1,
2022-04-22,7,42,29,7|18|23|50|55|66|71,1,18,1,2,2,Loteria Nacional,2,63,MISMO_GRUPO_T2,1,50|73
2022-04-22,50,42,5,7|18|23|50|55|66|71,4,18,-2,2,2,Loteria Nacional,2,63,RELACION_DE_SEGUNDO_NIVEL,1,7|73
2022-04-22,73,48,23,73|89,1,89,1,2,3,Gana Mas,3,63,RELACION_DE_TERCER_NIVEL,1,7|50
2022-04-24,7,42,90,7|18|23|50|55|66|71,1,18,1,2,1,New York 2:30,2,65,RELACION_DE_TERCER_NIVEL,1,84
2022-04-29,7,42,44,7|18|23|50|55|66|71,1,55,4,5,3,New York 10:30,1,29,MISMO_GRUPO_T2,1,22|70
2022-05-05,20,38,2,20|31|47|52|63|100,1,31,1,2,2,New York 2:30,2,22,RELACION_DE_SEGUNDO_NIVEL,1,
2022-05-06,35,49,22,35|40|83,1,83,2,3,2,Quiniela Real,2,84,RELACION_DE_TERCER_NIVEL,1,44
2022-05-07,94,39,84,9|14|30|41|46|62|78|94,8,14,-6,2,1,Loteria Nacional,3,51,RELACION_DE_TERCER_NIVEL,1,
2022-05-10,68,47,76,4|36|68|79|84,3,84,2,5,1,New York 10:30,1,92,MISMO_GRUPO_T2,1,
2022-06-02,26,28,72,21|26|53,2,21,-1,1,2,Quiniela Real,1,5,RELACION_DE_TERCER_NIVEL,1,53
2022-06-05,44,43,22,12|28|44|60|81|92,3,28,-1,2,1,Gana Mas,1,28,MISMO_GRUPO_T1,1,28|77
2022-06-05,77,32,87,77,1,,,,,,,28,MISMO_GRUPO_T2,1,28|44
2022-06-07,35,49,53,35|40|83,1,40,1,2,5,Loteria Nacional,3,50,RELACION_DE_SEGUNDO_NIVEL,1,42
2022-06-08,44,43,29,12|28|44|60|81|92,3,28,-1,2,1,Gana Mas,3,2,RELACION_DE_TERCER_NIVEL,1,
2022-06-12,69,45,91,69|80,1,,,,,,,26,RELACION_DE_TERCER_NIVEL,1,
2022-06-15,77,32,87,77,1,,,,,,,78,CANDIDATO_ORIGINAL_ALTERNATIVO,1,
2022-06-16,63,38,22,20|31|47|52|63|100,5,47,-2,3,1,Gana Mas,1,47,MISMO_GRUPO_T1,1,35|70|91
2022-07-03,53,28,29,21|26|53,3,26,-1,2,1,New York 2:30,1,13,COMPANERO_DEL_CONFIRMADOR,1,42
2022-07-05,67,40,79,8|19|51|56|67|72,5,51,-2,3,2,Quiniela Real,2,60,RELACION_DE_TERCER_NIVEL,1,51
2022-07-10,53,28,7,21|26|53,3,26,-1,2,2,Quiniela Loteka,1,70,MISMO_GRUPO_T2,1,
2022-07-13,10,37,1,5|10|42,2,42,1,3,5,Quiniela Loteka,3,29,RELACION_DE_SEGUNDO_NIVEL,1,42
2022-07-22,63,38,44,20|31|47|52|63|100,5,20,-4,1,3,Gana Mas,3,18,RELACION_DE_SEGUNDO_NIVEL,1,
2022-07-26,35,49,42,35|40|83,1,40,1,2,2,Quiniela Leidsa,3,81,RELACION_DE_SEGUNDO_NIVEL,1,
2022-08-23,5,37,50,5|10|42,1,10,1,2,1,Gana Mas,2,62,RELACION_DE_TERCER_NIVEL,1,42
2022-08-25,70,44,90,22|59|70|75|91,3,91,2,5,1,Quiniela Leidsa,1,17,RELACION_DE_TERCER_NIVEL,1,22
2022-08-28,29,41,7,13|29|93,2,13,-1,1,4,New York 10:30,3,97,RELACION_DE_SEGUNDO_NIVEL,1,7|71|89|93
2022-08-31,23,42,73,7|18|23|50|55|66|71,3,66,3,6,2,Gana Mas,2,90,RELACION_DE_SEGUNDO_NIVEL,1,
2022-09-02,70,44,63,22|59|70|75|91,3,22,-2,1,1,Gana Mas,3,14,RELACION_DE_SEGUNDO_NIVEL,1,22|35
2022-09-08,23,42,28,7|18|23|50|55|66|71,3,71,4,7,1,New York 2:30,3,39,RELACION_DE_SEGUNDO_NIVEL,1,53
2022-09-17,52,38,85,20|31|47|52|63|100,4,20,-3,1,1,Quiniela Loteka,3,12,RELACION_DE_SEGUNDO_NIVEL,1,63
2022-10-06,27,26,76,27|38,1,38,1,2,4,Quiniela Leidsa,2,4,RELACION_DE_SEGUNDO_NIVEL,1,
2022-10-12,100,38,10,20|31|47|52|63|100,6,47,-3,3,1,Quiniela Leidsa,1,14,RELACION_DE_TERCER_NIVEL,1,63
2022-10-13,39,33,78,2|39|82|87,2,2,-1,1,1,Quiniela Real,2,37,RELACION_DE_SEGUNDO_NIVEL,1,
2022-10-16,44,43,63,12|28|44|60|81|92,3,28,-1,2,1,New York 10:30,2,64,RELACION_DE_TERCER_NIVEL,1,28
2022-10-27,71,42,56,7|18|23|50|55|66|71,7,23,-4,3,3,Loteria Nacional,2,63,RELACION_DE_SEGUNDO_NIVEL,1,23|89|90
2022-10-30,84,47,94,4|36|68|79|84,5,68,-2,3,1,Quiniela Loteka,2,86,RELACION_DE_TERCER_NIVEL,1,80
2022-11-03,29,41,22,13|29|93,2,13,-1,1,6,Quiniela Loteka,2,12,RELACION_DE_SEGUNDO_NIVEL,1,79
2022-11-10,89,48,71,73|89,2,,,,,,,77,RELACION_DE_SEGUNDO_NIVEL,1,
2022-11-20,35,49,7,35|40|83,1,40,1,2,2,Loteria Nacional,3,9,MISMO_GRUPO_T2,1,44
2022-11-20,44,43,7,12|28|44|60|81|92,3,12,-2,1,1,Quiniela Leidsa,1,33,RELACION_DE_TERCER_NIVEL,1,35
2022-11-24,90,46,42,37|58|74|90,4,58,-2,2,4,Gana Mas,3,91,RELACION_DE_SEGUNDO_NIVEL,1,
2022-11-30,22,44,9,22|59|70|75|91,1,75,3,4,3,Loteria Nacional,1,37,RELACION_DE_SEGUNDO_NIVEL,1,70
2022-12-02,90,46,29,37|58|74|90,4,74,-1,3,1,Quiniela Real,3,30,RELACION_DE_SEGUNDO_NIVEL,1,
2022-12-07,3,31,83,3|24|88|99,1,99,3,4,2,Loteria Nacional,1,35,COMPANERO_DEL_CONFIRMADOR,1,7
2022-12-09,42,37,35,5|10|42,3,5,-2,1,1,New York 2:30,1,85,RELACION_DE_TERCER_NIVEL,1,
2022-12-13,8,40,80,8|19|51|56|67|72,1,19,1,2,1,New York 2:30,3,36,RELACION_DE_TERCER_NIVEL,1,
2022-12-19,83,49,30,35|40|83,3,40,-1,2,3,New York 10:30,1,55,RELACION_DE_TERCER_NIVEL,1,
2022-12-28,23,42,77,7|18|23|50|55|66|71,3,71,4,7,1,Gana Mas,1,71,MISMO_GRUPO_T1,1,7
2022-12-29,79,47,67,4|36|68|79|84,4,36,-2,2,6,Gana Mas,1,92,RELACION_DE_SEGUNDO_NIVEL,1,
2023-01-06,50,42,5,7|18|23|50|55|66|71,4,7,-3,1,1,Loteria Nacional,1,92,RELACION_DE_TERCER_NIVEL,1,
2023-01-14,44,43,9,12|28|44|60|81|92,3,81,2,5,2,New York 10:30,3,46,COMPANERO_DEL_CONFIRMADOR,1,53|63
2023-01-14,53,28,9,21|26|53,3,,,,,,,46,COMPANERO_DEL_CONFIRMADOR,1,44|63
2023-01-22,48,36,93,32|48|64|85,2,64,1,3,1,New York 10:30,1,70,RELACION_DE_TERCER_NIVEL,1,85|97
2023-01-29,53,28,7,21|26|53,3,21,-2,1,1,Loteria Nacional,1,60,RELACION_DE_SEGUNDO_NIVEL,1,97
2023-02-02,45,50,32,45,1,,,,,,,14,CANDIDATO_ORIGINAL_ALTERNATIVO,1,58|94
2023-02-15,10,37,1,5|10|42,2,5,-1,1,7,Gana Mas,3,31,RELACION_DE_SEGUNDO_NIVEL,1,
2023-02-24,75,44,62,22|59|70|75|91,4,70,-1,3,1,Loteria Nacional,2,31,RELACION_DE_TERCER_NIVEL,1,22|70
2023-02-25,74,46,31,37|58|74|90,3,37,-2,1,6,New York 10:30,2,42,RELACION_DE_SEGUNDO_NIVEL,1,
2023-02-26,44,43,42,12|28|44|60|81|92,3,28,-1,2,1,Quiniela Real,2,5,COMPANERO_DEL_CONFIRMADOR,1,71|92
2023-02-26,71,42,12,7|18|23|50|55|66|71,7,66,-1,6,1,Quiniela Real,3,88,RELACION_DE_TERCER_NIVEL,1,44|92
2023-03-02,72,40,59,8|19|51|56|67|72,6,19,-4,2,1,Loteria Nacional,2,53,RELACION_DE_SEGUNDO_NIVEL,1,
2023-03-03,72,40,34,8|19|51|56|67|72,6,8,-5,1,1,New York 2:30,1,18,CANDIDATO_ORIGINAL_ALTERNATIVO,1,7
2023-03-09,35,49,7,35|40|83,1,83,2,3,3,Quiniela Loteka,3,84,RELACION_DE_TERCER_NIVEL,1,
2023-03-20,59,44,34,22|59|70|75|91,2,75,2,4,1,Gana Mas,1,75,MISMO_GRUPO_T1,1,
2023-03-22,29,41,22,13|29|93,2,93,1,3,1,Loteria Nacional,2,66,RELACION_DE_SEGUNDO_NIVEL,1,12|44
2023-03-23,100,38,1,20|31|47|52|63|100,6,47,-3,3,1,New York 10:30,3,10,MISMO_GRUPO_T2,1,
2023-03-27,53,28,9,21|26|53,3,26,-1,2,1,New York 10:30,3,63,MISMO_GRUPO_T2,1,
2023-04-01,46,39,19,9|14|30|41|46|62|78|94,5,78,2,7,1,Quiniela Loteka,3,60,RELACION_DE_TERCER_NIVEL,1,9|41|86
2023-04-08,29,41,9,13|29|93,2,13,-1,1,4,Quiniela Leidsa,2,14,COMPANERO_DEL_CONFIRMADOR,1,
2023-04-20,17,34,13,1|17|33|49|76,2,76,3,5,1,Gana Mas,1,76,MISMO_GRUPO_T1,1,83
2023-04-20,83,49,30,35|40|83,3,40,-1,2,3,New York 10:30,3,76,CANDIDATO_ORIGINAL_ALTERNATIVO,1,17
2023-04-21,10,37,1,5|10|42,2,5,-1,1,1,Loteria Nacional,1,68,RELACION_DE_TERCER_NIVEL,1,34
2023-04-27,44,43,7,12|28|44|60|81|92,3,81,2,5,1,Quiniela Real,3,90,MISMO_GRUPO_T2,1,
2023-05-03,46,39,19,9|14|30|41|46|62|78|94,5,30,-2,3,1,New York 2:30,1,73,RELACION_DE_TERCER_NIVEL,1,9
2023-05-05,67,40,88,8|19|51|56|67|72,5,51,-2,3,3,New York 2:30,1,43,RELACION_DE_TERCER_NIVEL,1,
2023-05-07,7,42,63,7|18|23|50|55|66|71,1,71,6,7,2,Gana Mas,3,3,RELACION_DE_TERCER_NIVEL,1,9|94
2023-05-07,94,39,84,9|14|30|41|46|62|78|94,8,41,-4,4,1,Gana Mas,3,3,RELACION_DE_SEGUNDO_NIVEL,1,7|9
2023-05-21,70,44,7,22|59|70|75|91,3,75,1,4,2,Quiniela Leidsa,1,68,RELACION_DE_TERCER_NIVEL,1,22
2023-05-24,2,33,20,2|39|82|87,1,39,1,2,1,Loteria Nacional,3,97,RELACION_DE_TERCER_NIVEL,1,68|87
2023-05-30,3,31,30,3|24|88|99,1,99,3,4,1,Loteria Nacional,3,51,RELACION_DE_TERCER_NIVEL,1,57
2023-06-03,30,39,83,9|14|30|41|46|62|78|94,3,9,-2,1,1,New York 10:30,2,26,RELACION_DE_TERCER_NIVEL,1,9|44
2023-06-06,56,40,12,8|19|51|56|67|72,4,8,-3,1,1,Quiniela Loteka,1,58,RELACION_DE_TERCER_NIVEL,1,67|72|89
2023-06-13,100,38,1,20|31|47|52|63|100,6,52,-2,4,3,Quiniela Real,3,42,RELACION_DE_SEGUNDO_NIVEL,1,
2023-06-21,42,37,9,5|10|42,3,10,-1,2,1,Gana Mas,3,12,RELACION_DE_SEGUNDO_NIVEL,1,
2023-06-27,19,40,86,8|19|51|56|67|72,2,67,3,5,1,Loteria Nacional,1,54,COMPANERO_DEL_CONFIRMADOR,1,
2023-06-29,9,39,7,9|14|30|41|46|62|78|94,1,94,7,8,1,Gana Mas,3,72,RELACION_DE_TERCER_NIVEL,1,94
2023-07-08,53,28,44,21|26|53,3,26,-1,2,3,New York 2:30,3,4,RELACION_DE_TERCER_NIVEL,1,77
2023-07-08,77,32,28,77,1,,,,,,,42,RELACION_DE_TERCER_NIVEL,1,53
2023-07-14,58,46,84,37|58|74|90,2,74,1,3,1,Gana Mas,1,74,MISMO_GRUPO_T1,1,
2023-07-18,29,41,63,13|29|93,2,93,1,3,2,New York 2:30,1,64,RELACION_DE_TERCER_NIVEL,1,56
2023-07-19,9,39,35,9|14|30|41|46|62|78|94,1,78,6,7,1,Quiniela Leidsa,3,66,RELACION_DE_SEGUNDO_NIVEL,1,
2023-07-20,65,52,37,65|97,1,,,,,,,70,RELACION_DE_TERCER_NIVEL,1,97
2023-07-20,97,52,93,65|97,2,,,,,,,70,RELACION_DE_TERCER_NIVEL,1,65
2023-07-24,29,41,42,13|29|93,2,93,1,3,2,Gana Mas,1,32,RELACION_DE_TERCER_NIVEL,1,63|71
2023-07-24,63,38,42,20|31|47|52|63|100,5,52,-1,4,1,Gana Mas,2,32,RELACION_DE_TERCER_NIVEL,1,29|71
2023-07-25,77,32,28,77,1,,,,,,,6,RELACION_DE_TERCER_NIVEL,1,26
2023-07-28,19,40,86,8|19|51|56|67|72,2,8,-1,1,3,Quiniela Loteka,3,44,RELACION_DE_TERCER_NIVEL,1,
2023-08-18,70,44,9,22|59|70|75|91,3,91,2,5,3,New York 2:30,3,18,RELACION_DE_SEGUNDO_NIVEL,1,22
2023-08-20,41,39,89,9|14|30|41|46|62|78|94,4,46,1,5,1,Gana Mas,1,46,MISMO_GRUPO_T1,1,
2023-08-21,90,46,22,37|58|74|90,4,37,-3,1,3,Quiniela Real,2,23,RELACION_DE_SEGUNDO_NIVEL,1,79
2023-08-30,65,52,82,65|97,1,,,,,,,84,RELACION_DE_TERCER_NIVEL,1,
2023-09-01,85,36,52,32|48|64|85,4,48,-2,2,3,Gana Mas,1,6,RELACION_DE_TERCER_NIVEL,1,
2023-09-04,35,49,42,35|40|83,1,83,2,3,3,New York 10:30,3,37,RELACION_DE_SEGUNDO_NIVEL,1,7|9
2023-09-07,29,41,9,13|29|93,2,93,1,3,2,Quiniela Loteka,1,4,CANDIDATO_ORIGINAL_ALTERNATIVO,1,
2023-09-12,1,34,10,1|17|33|49|76,1,33,2,3,1,Loteria Nacional,1,28,RELACION_DE_TERCER_NIVEL,1,7|71
2023-09-12,7,42,53,7|18|23|50|55|66|71,1,18,1,2,2,Quiniela Loteka,3,28,RELACION_DE_SEGUNDO_NIVEL,1,1|71
2023-09-14,85,36,81,32|48|64|85,4,64,-1,3,1,Quiniela Real,3,71,RELACION_DE_TERCER_NIVEL,1,76
2023-09-15,83,49,30,35|40|83,3,35,-2,1,3,Quiniela Loteka,3,47,RELACION_DE_TERCER_NIVEL,1,
2023-09-16,68,47,92,4|36|68|79|84,3,79,1,4,2,New York 2:30,1,24,RELACION_DE_TERCER_NIVEL,1,27
2023-09-17,83,49,3,35|40|83,3,35,-2,1,1,Quiniela Loteka,3,99,COMPANERO_DEL_CONFIRMADOR,1,
2023-09-18,29,41,9,13|29|93,2,93,1,3,2,New York 2:30,2,54,RELACION_DE_TERCER_NIVEL,1,
2023-09-20,77,32,23,77,1,,,,,,,28,MISMO_GRUPO_T2,1,
2023-09-22,35,49,63,35|40|83,1,40,1,2,3,Quiniela Leidsa,3,53,MISMO_GRUPO_T2,1,4
2023-10-03,3,31,30,3|24|88|99,1,24,1,2,1,New York 10:30,1,56,RELACION_DE_TERCER_NIVEL,1,
2023-10-08,90,46,44,37|58|74|90,4,58,-2,2,1,New York 10:30,2,54,RELACION_DE_TERCER_NIVEL,1,59
2023-10-10,22,44,7,22|59|70|75|91,1,59,1,2,3,Quiniela Real,1,55,COMPANERO_DEL_CONFIRMADOR,1,59|70
2023-10-10,70,44,7,22|59|70|75|91,3,59,-1,2,3,Quiniela Real,1,55,COMPANERO_DEL_CONFIRMADOR,1,22|59
2023-10-13,69,45,57,69|80,1,80,1,2,3,Quiniela Loteka,2,7,RELACION_DE_TERCER_NIVEL,1,11|80
2023-10-14,22,44,29,22|59|70|75|91,1,75,3,4,1,Quiniela Real,1,14,RELACION_DE_SEGUNDO_NIVEL,1,35|70
2023-10-14,70,44,29,22|59|70|75|91,3,75,1,4,1,Quiniela Real,1,14,RELACION_DE_SEGUNDO_NIVEL,1,22|35
2023-10-17,63,38,35,20|31|47|52|63|100,5,47,-2,3,1,New York 2:30,2,46,RELACION_DE_SEGUNDO_NIVEL,1,
2023-10-19,39,33,78,2|39|82|87,2,87,2,4,3,Quiniela Leidsa,2,12,RELACION_DE_TERCER_NIVEL,1,
2023-10-24,59,44,26,22|59|70|75|91,2,75,2,4,2,Loteria Nacional,1,40,RELACION_DE_TERCER_NIVEL,1,42
2023-11-08,27,26,76,27|38,1,,,,,,,42,RELACION_DE_TERCER_NIVEL,1,
2023-11-16,9,39,29,9|14|30|41|46|62|78|94,1,14,1,2,1,Quiniela Real,2,89,RELACION_DE_SEGUNDO_NIVEL,1,94
2023-11-25,94,39,58,9|14|30|41|46|62|78|94,8,46,-3,5,1,Loteria Nacional,2,99,RELACION_DE_TERCER_NIVEL,1,9
2023-12-19,90,46,29,37|58|74|90,4,37,-3,1,1,New York 10:30,3,69,RELACION_DE_TERCER_NIVEL,1,7
2023-12-20,22,44,70,22|59|70|75|91,1,70,2,3,1,New York 10:30,1,11,RELACION_DE_SEGUNDO_NIVEL,1,75|91
2023-12-25,29,41,53,13|29|93,2,,,,,,,40,RELACION_DE_SEGUNDO_NIVEL,1,
2023-12-28,63,38,35,20|31|47|52|63|100,5,31,-3,2,1,Quiniela Leidsa,2,1,RELACION_DE_SEGUNDO_NIVEL,1,20|52
2023-12-29,29,41,70,13|29|93,2,93,1,3,4,Loteria Nacional,1,35,MISMO_GRUPO_T2,1,
2024-01-13,68,47,76,4|36|68|79|84,3,84,2,5,1,Quiniela Real,3,44,RELACION_DE_SEGUNDO_NIVEL,1,84
2024-01-17,44,43,90,12|28|44|60|81|92,3,12,-2,1,1,New York 10:30,2,2,RELACION_DE_TERCER_NIVEL,1,28|35|53
2024-01-25,67,40,88,8|19|51|56|67|72,5,72,1,6,1,New York 2:30,1,73,RELACION_DE_TERCER_NIVEL,1,
2024-01-26,87,33,73,2|39|82|87,4,2,-3,1,2,Quiniela Real,1,81,RELACION_DE_SEGUNDO_NIVEL,1,
2024-01-27,23,42,28,7|18|23|50|55|66|71,3,7,-2,1,1,Quiniela Leidsa,3,91,RELACION_DE_TERCER_NIVEL,1,7|53
2024-01-28,84,47,94,4|36|68|79|84,5,4,-4,1,1,New York 10:30,2,88,RELACION_DE_SEGUNDO_NIVEL,1,
2024-02-05,77,32,28,77,1,,,,,,,37,RELACION_DE_TERCER_NIVEL,1,
2024-02-06,63,38,70,20|31|47|52|63|100,5,47,-2,3,1,Gana Mas,1,47,MISMO_GRUPO_T1,1,42
2024-02-10,35,49,29,35|40|83,1,83,2,3,1,New York 2:30,1,10,RELACION_DE_SEGUNDO_NIVEL,1,
2024-02-11,100,38,10,20|31|47|52|63|100,6,47,-3,3,1,New York 10:30,1,68,RELACION_DE_TERCER_NIVEL,1,
2024-02-19,2,33,20,2|39|82|87,1,39,1,2,1,Quiniela Leidsa,1,28,RELACION_DE_SEGUNDO_NIVEL,1,23|53|87
2024-02-19,53,28,42,21|26|53,3,26,-1,2,3,Loteria Nacional,1,28,RELACION_DE_SEGUNDO_NIVEL,1,2|23|87
2024-02-20,53,28,22,21|26|53,3,26,-1,2,2,Loteria Nacional,1,91,COMPANERO_DEL_CONFIRMADOR,1,9
2024-03-02,9,39,42,9|14|30|41|46|62|78|94,1,62,5,6,2,Loteria Nacional,2,22,MISMO_GRUPO_T2,1,
2024-04-15,29,41,63,13|29|93,2,93,1,3,3,Loteria Nacional,1,44,MISMO_GRUPO_T2,1,
2024-04-17,9,39,22,9|14|30|41|46|62|78|94,1,46,4,5,1,Loteria Nacional,3,89,RELACION_DE_SEGUNDO_NIVEL,1,
2024-04-27,44,43,9,12|28|44|60|81|92,3,12,-2,1,1,New York 10:30,3,5,RELACION_DE_SEGUNDO_NIVEL,1,74|90
2024-05-01,56,40,89,8|19|51|56|67|72,4,19,-2,2,3,New York 10:30,2,69,RELACION_DE_TERCER_NIVEL,1,63|72
2024-05-01,72,40,34,8|19|51|56|67|72,6,19,-4,2,3,New York 10:30,2,69,RELACION_DE_TERCER_NIVEL,1,56|63
2024-05-11,6,35,60,6|11|43|54|86,1,86,4,5,3,Quiniela Leidsa,3,14,RELACION_DE_SEGUNDO_NIVEL,1,
2024-05-12,54,35,14,6|11|43|54|86,4,86,1,5,2,Quiniela Leidsa,3,94,COMPANERO_DEL_CONFIRMADOR,1,
2024-05-22,22,44,9,22|59|70|75|91,1,70,2,3,5,New York 10:30,2,42,MISMO_GRUPO_T2,1,44|70
2024-05-23,71,42,12,7|18|23|50|55|66|71,7,23,-4,3,1,New York 2:30,3,27,RELACION_DE_TERCER_NIVEL,1,7
2024-05-26,71,42,89,7|18|23|50|55|66|71,7,50,-3,4,1,Loteria Nacional,2,79,RELACION_DE_TERCER_NIVEL,1,7|22|70
2024-06-05,27,26,76,27|38,1,38,1,2,1,Gana Mas,2,38,MISMO_GRUPO_T1,1,
2024-06-14,77,32,28,77,1,,,,,,,78,RELACION_DE_TERCER_NIVEL,1,73
2024-06-17,70,44,22,22|59|70|75|91,3,59,-1,2,1,Gana Mas,1,59,MISMO_GRUPO_T1,1,22|42
2024-06-19,42,37,22,5|10|42,3,10,-1,2,3,Quiniela Leidsa,2,53,MISMO_GRUPO_T2,1,
2024-06-26,53,28,22,21|26|53,3,26,-1,2,3,Quiniela Loteka,2,19,RELACION_DE_TERCER_NIVEL,1,
2024-06-28,1,34,10,1|17|33|49|76,1,17,1,2,5,Quiniela Loteka,3,63,RELACION_DE_SEGUNDO_NIVEL,1,
2024-07-01,9,39,7,9|14|30|41|46|62|78|94,1,41,3,4,5,Loteria Nacional,3,42,MISMO_GRUPO_T2,1,94
2024-07-01,94,39,58,9|14|30|41|46|62|78|94,8,41,-4,4,5,Loteria Nacional,3,42,RELACION_DE_SEGUNDO_NIVEL,1,9
2024-07-03,9,39,22,9|14|30|41|46|62|78|94,1,41,3,4,3,Loteria Nacional,3,34,RELACION_DE_TERCER_NIVEL,1,
2024-07-09,88,31,79,3|24|88|99,3,24,-1,2,1,New York 2:30,3,86,RELACION_DE_TERCER_NIVEL,1,89|93
2024-07-24,27,26,76,27|38,1,38,1,2,2,Quiniela Real,2,13,RELACION_DE_TERCER_NIVEL,1,72
2024-07-24,72,40,26,8|19|51|56|67|72,6,19,-4,2,2,New York 2:30,2,6,RELACION_DE_TERCER_NIVEL,1,27
2024-08-03,71,42,89,7|18|23|50|55|66|71,7,23,-4,3,1,Loteria Nacional,1,51,RELACION_DE_SEGUNDO_NIVEL,1,
2024-08-05,22,44,35,22|59|70|75|91,1,75,3,4,1,Quiniela Leidsa,3,13,RELACION_DE_SEGUNDO_NIVEL,1,11|44|69|70|80|91
2024-08-05,69,45,57,69|80,1,,,,,,,57,MISMO_GRUPO_T2,1,11|22|44|70|80|91
2024-08-05,80,45,8,69|80,2,,,,,,,57,RELACION_DE_SEGUNDO_NIVEL,1,11|22|44|69|70|91
2024-08-07,22,44,7,22|59|70|75|91,1,91,4,5,5,New York 2:30,3,23,COMPANERO_DEL_CONFIRMADOR,1,70
2024-08-09,15,29,96,15,1,,,,,,,2,CANDIDATO_ORIGINAL_ALTERNATIVO,1,7
2024-08-13,48,36,97,32|48|64|85,2,64,1,3,1,Gana Mas,1,64,MISMO_GRUPO_T1,1,
2024-08-17,29,41,22,13|29|93,2,13,-1,1,1,Quiniela Loteka,3,97,RELACION_DE_SEGUNDO_NIVEL,1,
2024-08-22,63,38,22,20|31|47|52|63|100,5,31,-3,2,2,New York 10:30,2,39,RELACION_DE_TERCER_NIVEL,1,31|100
2024-08-22,100,38,1,20|31|47|52|63|100,6,31,-4,2,2,New York 10:30,2,39,RELACION_DE_TERCER_NIVEL,1,31|63
2024-08-23,54,35,14,6|11|43|54|86,4,43,-1,3,3,Quiniela Loteka,2,56,RELACION_DE_TERCER_NIVEL,1,
