case_date,fuerte,origin,confirmer,t1_group,t1_pos_fuerte,first_t1_companion,first_t1_dist,first_t1_pos,first_t1_day,first_t1_lottery,first_t1_draw_position,first_related,first_related_primary,first_related_day,other_fuertes
2020-03-18,34,51,59,34|98,1,98,1,2,5,New York 10:30,1,19,RELACION_DE_SEGUNDO_NIVEL,1,
2020-04-11,93,41,97,13|29|93,3,,,,,,,28,RELACION_DE_TERCER_NIVEL,1,
2020-04-12,77,32,28,77,1,,,,,,,55,RELACION_DE_SEGUNDO_NIVEL,1,
2020-04-16,30,39,3,9|14|30|41|46|62|78|94,3,14,-1,2,1,New York 10:30,1,14,MISMO_GRUPO_T1,1,
2020-06-04,69,45,11,69|80,1,,,,,,,25,RELACION_DE_SEGUNDO_NIVEL,1,
2020-06-07,90,46,70,37|58|74|90,4,74,-1,3,1,Quiniela Real,1,47,RELACION_DE_SEGUNDO_NIVEL,1,58
2020-06-10,63,38,29,20|31|47|52|63|100,5,31,-3,2,1,Quiniela Leidsa,2,55,CANDIDATO_ORIGINAL_ALTERNATIVO,1,7|15|52
2020-06-12,4,47,40,4|36|68|79|84,1,68,2,3,2,New York 2:30,1,28,RELACION_DE_TERCER_NIVEL,1,
2020-06-14,22,44,35,22|59|70|75|91,1,70,2,3,1,Loteria Nacional,1,55,RELACION_DE_SEGUNDO_NIVEL,1,70
2020-06-15,54,35,14,6|11|43|54|86,4,86,1,5,1,New York 2:30,3,39,RELACION_DE_TERCER_NIVEL,1,
2020-06-20,85,36,52,32|48|64|85,4,32,-3,1,3,Gana Mas,3,65,CANDIDATO_ORIGINAL_ALTERNATIVO,1,65
2020-06-29,56,40,89,8|19|51|56|67|72,4,8,-3,1,1,New York 10:30,3,50,RELACION_DE_SEGUNDO_NIVEL,1,19|91
2020-06-29,91,44,69,22|59|70|75|91,5,59,-3,2,2,New York 10:30,1,50,RELACION_DE_TERCER_NIVEL,1,19|56
2020-06-30,57,30,69,25|57,2,25,-1,1,2,Gana Mas,1,9,RELACION_DE_TERCER_NIVEL,1,
2020-07-01,42,37,9,5|10|42,3,5,-2,1,1,New York 10:30,2,3,RELACION_DE_TERCER_NIVEL,1,76
2020-07-10,75,44,62,22|59|70|75|91,4,70,-1,3,1,Quiniela Loteka,2,67,RELACION_DE_TERCER_NIVEL,1,59|90
2020-07-10,90,46,44,37|58|74|90,4,37,-3,1,7,New York 10:30,1,36,RELACION_DE_TERCER_NIVEL,1,59|75
2020-07-11,68,47,92,4|36|68|79|84,3,84,2,5,1,Loteria Nacional,2,87,RELACION_DE_TERCER_NIVEL,1,4|79
2020-07-11,79,47,67,4|36|68|79|84,4,84,1,5,1,Loteria Nacional,2,88,MISMO_GRUPO_T2,1,4|68
2020-07-12,12,43,41,12|28|44|60|81|92,1,81,4,5,1,Quiniela Real,1,33,RELACION_DE_TERCER_NIVEL,1,28
2020-07-17,42,37,44,5|10|42,3,10,-1,2,4,New York 10:30,3,77,RELACION_DE_TERCER_NIVEL,1,91
