number,t1_code,t1_group,t1_pos,num_-1,num_+1,num_-2,num_+2,t2_group,times_fuerte,exact_any,times_origin,times_confirmer,produced_-1_count,appeared_as_-1_count
76,34,1|17|33|49|76,5,49,,33,,27|68|76|92,29,25,0,36,25,0
77,32,77,1,,,,,23|28|73|77|87,41,28,0,31,0,0
78,39,9|14|30|41|46|62|78|94,7,62,94,46,,39|78,0,0,0,4,0,22
79,47,4|36|68|79|84,4,68,84,36,,67|79|88,24,19,0,17,19,11
80,45,69|80,2,69,,,,8|80,13,11,0,10,11,0
81,43,12|28|44|60|81|92,5,60,92,44,,52|81|85,15,15,0,15,13,29
82,33,2|39|82|87,3,39,87,2,,37|65|82,20,18,0,17,14,29
83,49,35|40|83,3,40,,35,,3|30|83,23,17,0,16,19,0
84,47,4|36|68|79|84,5,79,,68,,58|84|94,16,12,0,29,11,0
85,36,32|48|64|85,4,64,,48,,52|81|85,20,16,0,21,13,0
86,35,6|11|43|54|86,5,54,,43,,19|46|86,14,12,0,25,13,0
87,33,2|39|82|87,4,82,,39,,23|28|73|77|87,38,34,0,39,29,0
88,31,3|24|88|99,3,24,99,3,,67|79|88,12,8,0,20,11,0
89,48,73|89,2,73,,,,12|41|56|71|89,33,24,0,40,25,0
90,46,37|58|74|90,4,74,,58,,7|9|22|29|35|42|44|53|63|70|90,65,49,0,98,53,0
91,44,22|59|70|75|91,5,75,,70,,11|57|69|91,27,21,0,30,22,0
92,43,12|28|44|60|81|92,6,81,,60,,27|68|76|92,32,29,0,35,29,0
93,41,13|29|93,3,29,,13,,48|93|97,22,19,0,19,19,0
94,39,9|14|30|41|46|62|78|94,8,78,,62,,58|84|94,32,25,0,17,22,0
95,56,95,1,,,,,95,0,0,0,0,0,0
96,54,96,1,,,,,15|96,6,5,0,6,0,0
97,52,65|97,2,65,,,,48|93|97,11,9,0,21,9,0
98,51,34|98,2,34,,,,98,0,0,0,0,0,0
99,31,3|24|88|99,4,88,,24,,99,0,0,0,0,0,0
100,38,20|31|47|52|63|100,6,63,,52,,1|10|100,14,0,0,0,10,0
