case_date,fuerte,origin,confirmer,n_confirmers,n_fuertes_same_day,all_fuertes,t1_pos_fuerte,fuerte_appeared,first_day_offset
2020-03-02,22,44,90,1,2,22|70,1,True,4
2020-03-02,70,44,90,1,2,22|70,3,True,4
2020-03-11,8,40,80,1,3,8|19|85,1,True,6
2020-03-11,19,40,86,1,3,8|19|85,2,False,
2020-03-11,85,36,81,1,3,8|19|85,4,True,4
2020-03-13,46,39,86,1,2,46|68,5,False,
2020-03-13,68,47,92,1,2,46|68,3,False,
2020-03-14,9,39,53,1,2,9|44,1,True,6
2020-03-14,44,43,53,1,2,9|44,3,True,2
2020-03-16,10,37,1,1,3,10|42|73,2,False,
2020-03-16,42,37,44,1,3,10|42|73,3,True,1
2020-03-16,73,48,77,1,3,10|42|73,1,True,2
2020-05-03,29,41,7,1,2,29|42,2,True,3
2020-05-03,42,37,7,1,2,29|42,3,True,3
2020-06-03,22,44,63,1,2,22|70,1,True,6
2020-06-03,70,44,63,1,2,22|70,3,True,3
2020-06-07,58,46,94,1,2,58|90,2,True,3
2020-06-07,90,46,70,1,2,58|90,4,False,
2020-06-09,28,43,87,1,2,28|94,2,True,4
2020-06-09,94,39,84,1,2,28|94,8,True,4
2020-06-10,7,42,29,1,4,7|15|52|63,1,True,7
2020-06-10,15,29,96,1,4,7|15|52|63,1,True,3
2020-06-10,52,38,85,1,4,7|15|52|63,4,True,1
2020-06-10,63,38,29,2,4,7|15|52|63,5,False,
2020-06-14,22,44,35,1,2,22|70,1,False,
2020-06-14,70,44,35,1,2,22|70,3,True,1
2020-06-20,65,52,37,1,2,65|85,1,True,1
2020-06-20,85,36,52,1,2,65|85,4,False,
2020-06-22,44,43,9,1,2,44|60,3,True,1
2020-06-22,60,43,6,1,2,44|60,4,True,4
2020-06-23,22,44,7,2,2,22|70,1,True,1
2020-06-23,70,44,7,2,2,22|70,3,True,2
2020-06-27,27,26,68,1,2,27|41,1,True,3
2020-06-27,41,39,71,1,2,27|41,4,True,5
2020-06-29,19,40,86,1,3,19|56|91,2,True,7
2020-06-29,56,40,89,1,3,19|56|91,4,False,
2020-06-29,91,44,69,1,3,19|56|91,5,False,
2020-07-01,42,37,9,1,2,42|76,3,False,
2020-07-01,76,34,68,1,2,42|76,5,True,1
2020-07-10,59,44,26,1,3,59|75|90,2,True,3
2020-07-10,75,44,62,1,3,59|75|90,4,False,
2020-07-10,90,46,44,1,3,59|75|90,4,False,
2020-07-11,4,47,40,1,3,4|68|79,1,True,3
2020-07-11,68,47,92,1,3,4|68|79,3,False,
2020-07-11,79,47,67,1,3,4|68|79,4,False,
2020-07-12,12,43,41,1,2,12|28,1,False,
2020-07-12,28,43,73,1,2,12|28,2,True,2
2020-07-15,12,43,89,1,4,12|44|68|71,1,True,6
2020-07-15,44,43,42,1,4,12|44|68|71,3,True,2
2020-07-15,68,47,92,1,4,12|44|68|71,3,True,5
2020-07-15,71,42,89,1,4,12|44|68|71,7,True,1
2020-07-17,42,37,44,1,2,42|91,3,False,
2020-07-17,91,44,57,1,2,42|91,5,False,
2020-07-27,12,43,89,1,3,12|28|87,1,True,3
2020-07-27,28,43,23,1,3,12|28|87,2,True,4
2020-07-27,87,33,23,1,3,12|28|87,4,False,
2020-07-31,42,37,63,1,2,42|90,3,False,
2020-07-31,90,46,63,1,2,42|90,4,False,
2020-08-06,28,43,87,1,2,28|44,2,True,7
2020-08-06,44,43,29,2,2,28|44,3,True,1
2020-08-10,7,42,29,1,2,7|34,1,True,1
