case_date,fuerte,t1_code,t1_group,t1_pos,num_-1,num_+1,num_-2,num_+2,day_-1,day_+1,day_fuerte,sequences,fuerte_appeared
2019-10-03,72,40,8|19|51|56|67|72,6,67,,56,,4,,,,False
2019-10-05,63,38,20|31|47|52|63|100,5,52,100,47,,5,,,,False
2019-10-06,35,49,35|40|83,1,,40,,83,,,5,F→+2,True
2019-10-08,12,43,12|28|44|60|81|92,1,,28,,44,,,4,,True
2019-10-08,17,34,1|17|33|49|76,2,1,33,,49,1,1,2,-1→F|+1→F|F→+2,True
2019-10-09,57,30,25|57,2,25,,,,1,,7,-1→F,True
2019-10-14,3,31,3|24|88|99,1,,24,,88,,4,7,+1→F,True
2019-10-15,7,42,7|18|23|50|55|66|71,1,,18,,23,,1,4,+1→F,True
2019-10-19,91,44,22|59|70|75|91,5,75,,70,,,,2,,True
2019-10-21,45,50,45,1,,,,,,,,,False
2019-10-22,89,48,73|89,2,73,,,,3,,1,F→-1|F→-1→F,True
2019-10-23,3,31,3|24|88|99,1,,24,,88,,4,3,F→+1|F→+2,True
2019-10-24,3,31,3|24|88|99,1,,24,,88,,3,2,F→+1|F→+2,True
2019-10-25,27,26,27|38,1,,38,,,,1,1,,True
2019-10-25,29,41,13|29|93,2,13,93,,,1,6,4,-1→F|F→+1,True
2019-10-26,63,38,20|31|47|52|63|100,5,52,100,47,,4,,6,-1→F,True
2019-10-29,34,51,34|98,1,,98,,,,7,7,,True
2019-10-31,28,43,12|28|44|60|81|92,2,12,44,,60,,2,,,False
2019-10-31,44,43,12|28|44|60|81|92,3,28,60,12,81,,5,2,F→+1|F→+2|F→+1→+2,True
2019-11-02,7,42,7|18|23|50|55|66|71,1,,18,,23,,1,,,False
2019-11-03,3,31,3|24|88|99,1,,24,,88,,1,,,False
2019-11-03,29,41,13|29|93,2,13,93,,,2,,3,-1→F,True
2019-11-03,88,31,3|24|88|99,3,24,99,3,,1,1,6,-1→F|+1→F,True
2019-11-09,29,41,13|29|93,2,13,93,,,3,,2,F→-1,True
2019-11-09,56,40,8|19|51|56|67|72,4,51,67,19,72,6,1,,,False
2019-11-09,67,40,8|19|51|56|67|72,5,56,72,51,,,,1,F→-2,True
2019-11-10,57,30,25|57,2,25,,,,1,,,,False
2019-11-12,23,42,7|18|23|50|55|66|71,3,18,50,7,55,2,4,3,-1→F|F→+1|F→-2,True
2019-11-13,20,38,20|31|47|52|63|100,1,,31,,47,,2,6,+1→F,True
2019-11-14,53,28,21|26|53,3,26,,21,,5,,1,F→-1|F→-2,True
2019-11-14,90,46,37|58|74|90,4,74,,58,,,,1,F→-2,True
2019-11-16,96,54,96,1,,,,,,,1,,True
2019-11-17,29,41,13|29|93,2,13,93,,,,3,1,F→+1,True
2019-11-18,94,39,9|14|30|41|46|62|78|94,8,78,,62,,,,,,False
2019-11-19,72,40,8|19|51|56|67|72,6,67,,56,,6,,3,F→-1|F→-1→-2→F_partial,True
2019-11-21,71,42,7|18|23|50|55|66|71,7,66,,55,,6,,5,F→-1|F→-1→-2→F_partial,True
2019-11-22,29,41,13|29|93,2,13,93,,,,,3,,True
2019-11-23,35,49,35|40|83,1,,40,,83,,5,3,F→+1,True
2019-11-25,79,47,4|36|68|79|84,4,68,84,36,,1,1,1,F→-2,True
2019-11-26,9,39,9|14|30|41|46|62|78|94,1,,14,,30,,3,,,False
2019-11-26,94,39,9|14|30|41|46|62|78|94,8,78,,62,,1,,5,-1→F,True
2019-11-27,89,48,73|89,2,73,,,,,,,,False
2019-11-27,93,41,13|29|93,3,29,,13,,6,,5,F→-1|F→-1→F,True
2019-12-04,53,28,21|26|53,3,26,,21,,2,,1,F→-1,True
2019-12-05,7,42,7|18|23|50|55|66|71,1,,18,,23,,4,2,F→+1|F→+2,True
2019-12-07,27,26,27|38,1,,38,,,,7,4,F→+1,True
2019-12-08,76,34,1|17|33|49|76,5,49,,33,,7,,5,F→-1|F→-1→-2→F_partial,True
2019-12-10,12,43,12|28|44|60|81|92,1,,28,,44,,7,2,F→+1,True
2019-12-10,28,43,12|28|44|60|81|92,2,12,44,,60,2,,7,-1→F,True
2019-12-10,41,39,9|14|30|41|46|62|78|94,4,30,46,14,62,4,1,1,F→-1|F→+2,True
2019-12-13,44,43,12|28|44|60|81|92,3,28,60,12,81,4,3,6,-1→F|+1→F|F→-2,True
2019-12-13,92,43,12|28|44|60|81|92,6,81,,60,,3,,6,-1→F,True
2019-12-14,85,36,32|48|64|85,4,64,,48,,,,6,,True
2019-12-16,34,51,34|98,1,,98,,,,5,2,F→+1,True
2019-12-19,48,36,32|48|64|85,2,32,64,,85,1,3,1,F→+1,True
2019-12-20,77,32,77,1,,,,,,,2,,True
2019-12-20,89,48,73|89,2,73,,,,3,,3,,True
2019-12-24,79,47,4|36|68|79|84,4,68,84,36,,4,6,1,F→-1|F→+1|F→-2|F→-1→-2|F→-1→F,True
2019-12-25,26,28,21|26|53,2,21,53,,,2,1,,,False
2019-12-27,1,34,1|17|33|49|76,1,,17,,33,,1,7,+1→F,True
2019-12-27,42,37,5|10|42,3,10,,5,,1,,1,F→-2,True
2019-12-28,54,35,6|11|43|54|86,4,43,86,11,,4,3,3,F→-1|F→-1→-2→F_partial,True
2020-01-04,67,40,8|19|51|56|67|72,5,56,72,51,,3,2,,,False
2020-01-05,73,48,73|89,1,,89,,,,5,,,False
2020-01-06,26,28,21|26|53,2,21,53,,,1,,1,,True
2020-01-07,9,39,9|14|30|41|46|62|78|94,1,,14,,30,,2,4,+1→F,True
2020-01-07,90,46,37|58|74|90,4,74,,58,,3,,2,F→-1|F→-2|F→-1→-2,True
2020-01-07,91,44,22|59|70|75|91,5,75,,70,,3,,3,,True
2020-01-07,94,39,9|14|30|41|46|62|78|94,8,78,,62,,,,1,F→-2,True
2020-01-08,73,48,73|89,1,,89,,,,2,6,+1→F,True
2020-01-09,53,28,21|26|53,3,26,,21,,4,,,,False
2020-01-10,8,40,8|19|51|56|67|72,1,,19,,51,,6,2,F→+1|F→+2,True
2020-01-10,77,32,77,1,,,,,,,6,,True
2020-01-19,27,26,27|38,1,,38,,,,1,,,False
2020-01-20,31,38,20|31|47|52|63|100,2,20,47,,52,1,,1,F→+2,True
2020-01-20,52,38,20|31|47|52|63|100,4,47,63,31,100,,6,4,F→+1,True
2020-01-20,63,38,20|31|47|52|63|100,5,52,100,47,,4,,6,-1→F,True
2020-01-22,31,38,20|31|47|52|63|100,2,20,47,,52,,6,3,F→+1,True
2020-01-22,52,38,20|31|47|52|63|100,4,47,63,31,100,6,4,2,F→-1|F→+1|F→-2,True
2020-01-22,63,38,20|31|47|52|63|100,5,52,100,47,,2,,4,-1→F|F→-2,True
2020-01-26,22,44,22|59|70|75|91,1,,59,,70,,,,,False
2020-01-26,59,44,22|59|70|75|91,2,22,70,,75,,7,,,False
2020-01-26,70,44,22|59|70|75|91,3,59,75,22,91,,1,7,+1→F,True
2020-01-29,75,44,22|59|70|75|91,4,70,91,59,,4,2,3,F→-1|+1→F|F→-1→F,True
2020-01-30,71,42,7|18|23|50|55|66|71,7,66,,55,,,,3,,True
2020-01-31,2,33,2|39|82|87,1,,39,,82,,6,6,,True
2020-01-31,87,33,2|39|82|87,4,82,,39,,,,,,False
2020-02-02,73,48,73|89,1,,89,,,,7,3,F→+1,True
2020-02-08,54,35,6|11|43|54|86,4,43,86,11,,2,,3,-1→F|F→-2,True
2020-02-08,80,45,69|80,2,69,,,,1,,4,-1→F,True
2020-02-09,40,49,35|40|83,2,35,83,,,4,4,2,F→-1|F→+1,True
2020-02-11,35,49,35|40|83,1,,40,,83,,,2,,True
2020-02-13,11,35,6|11|43|54|86,2,6,43,,54,6,2,4,F→-1|+1→F,True
2020-02-17,11,35,6|11|43|54|86,2,6,43,,54,2,4,2,F→+1,True
2020-02-17,40,49,35|40|83,2,35,83,,,4,1,,,False
2020-02-17,77,32,77,1,,,,,,,4,,True
2020-02-19,7,42,7|18|23|50|55|66|71,1,,18,,23,,,,,False
2020-02-21,11,35,6|11|43|54|86,2,6,43,,54,2,2,4,-1→F|+1→F|F→+2,True
2020-02-21,28,43,12|28|44|60|81|92,2,12,44,,60,,,1,,True
2020-02-21,44,43,12|28|44|60|81|92,3,28,60,12,81,1,,,,False
2020-02-21,92,43,12|28|44|60|81|92,6,81,,60,,3,,1,F→-1|F→-1→F,True
2020-02-23,44,43,12|28|44|60|81|92,3,28,60,12,81,,6,7,+1→F,True
2020-02-24,58,46,37|58|74|90,2,37,74,,90,2,2,6,-1→F|+1→F,True
2020-02-24,90,46,37|58|74|90,4,74,,58,,2,,1,F→-1|F→-2|F→-1→-2|F→-1→F,True
2020-02-25,35,49,35|40|83,1,,40,,83,,1,4,+1→F,True
2020-02-27,48,36,32|48|64|85,2,32,64,,85,5,2,2,F→-1,True
2020-02-28,2,33,2|39|82|87,1,,39,,82,,1,2,+1→F|F→+2,True
2020-02-28,87,33,2|39|82|87,4,82,,39,,6,,1,F→-1,True
2020-03-01,56,40,8|19|51|56|67|72,4,51,67,19,72,5,,7,-1→F,True
2020-03-02,22,44,22|59|70|75|91,1,,59,,70,,5,4,F→+1,True
2020-03-02,70,44,22|59|70|75|91,3,59,75,22,91,5,3,4,F→-1|+1→F|F→+2|F→-1→F,True
2020-03-03,4,47,4|36|68|79|84,1,,36,,68,,3,5,+1→F,True
2020-03-07,68,47,4|36|68|79|84,3,36,79,4,84,4,4,,,False
2020-03-08,29,41,13|29|93,2,13,93,,,,1,4,+1→F,True
2020-03-10,53,28,21|26|53,3,26,,21,,,,2,,True
2020-03-11,8,40,8|19|51|56|67|72,1,,19,,51,,,6,,True
2020-03-11,19,40,8|19|51|56|67|72,2,8,51,,56,6,5,,,False
2020-03-11,85,36,32|48|64|85,4,64,,48,,,,4,F→-2,True
2020-03-12,9,39,9|14|30|41|46|62|78|94,1,,14,,30,,5,,,False
2020-03-13,46,39,9|14|30|41|46|62|78|94,5,41,62,30,78,4,1,,,False
2020-03-13,68,47,4|36|68|79|84,3,36,79,4,84,1,1,,,False
2020-03-14,9,39,9|14|30|41|46|62|78|94,1,,14,,30,,3,6,+1→F,True
2020-03-14,44,43,12|28|44|60|81|92,3,28,60,12,81,,4,2,F→+1,True
2020-03-16,10,37,5|10|42,2,5,42,,,1,1,,,False
2020-03-16,42,37,5|10|42,3,10,,5,,,,1,,True
2020-03-16,73,48,73|89,1,,89,,,,1,2,+1→F,True
2020-03-18,34,51,34|98,1,,98,,,,5,,,False
2020-04-03,35,49,35|40|83,1,,40,,83,,4,7,+1→F,True
2020-04-11,93,41,13|29|93,3,29,,13,,,,,,False
2020-04-12,77,32,77,1,,,,,,,,,False
2020-04-16,30,39,9|14|30|41|46|62|78|94,3,14,41,9,46,1,,,,False
2020-04-25,69,45,69|80,1,,80,,,,1,6,+1→F,True
2020-05-03,29,41,13|29|93,2,13,93,,,,,3,,True
2020-05-03,42,37,5|10|42,3,10,,5,,3,,3,,True
2020-05-28,76,34,1|17|33|49|76,5,49,,33,,,,7,,True
2020-06-03,22,44,22|59|70|75|91,1,,59,,70,,1,6,+1→F,True
2020-06-03,70,44,22|59|70|75|91,3,59,75,22,91,1,7,3,-1→F|F→+1|F→-2,True
2020-06-04,69,45,69|80,1,,80,,,,,,,False
2020-06-07,58,46,37|58|74|90,2,37,74,,90,,1,3,+1→F,True
2020-06-07,90,46,37|58|74|90,4,74,,58,,1,,,,False
2020-06-08,85,36,32|48|64|85,4,64,,48,,3,,2,F→-1|F→-2,True
2020-06-09,28,43,12|28|44|60|81|92,2,12,44,,60,,5,4,F→+1,True
2020-06-09,94,39,9|14|30|41|46|62|78|94,8,78,,62,,7,,4,F→-1,True
2020-06-10,7,42,7|18|23|50|55|66|71,1,,18,,23,,5,7,+1→F,True
2020-06-10,15,29,15,1,,,,,,,3,,True
2020-06-10,52,38,20|31|47|52|63|100,4,47,63,31,100,2,,1,F→-1|F→-1→F,True
2020-06-10,63,38,20|31|47|52|63|100,5,52,100,47,,1,,,,False
2020-06-11,44,43,12|28|44|60|81|92,3,28,60,12,81,2,6,3,-1→F|F→+1|F→-2,True
2020-06-12,4,47,4|36|68|79|84,1,,36,,68,,4,,,False
2020-06-14,22,44,22|59|70|75|91,1,,59,,70,,5,,,False
2020-06-14,70,44,22|59|70|75|91,3,59,75,22,91,5,7,1,F→-1|F→+1|F→+2|F→-1→F,True
2020-06-15,54,35,6|11|43|54|86,4,43,86,11,,6,1,,,False
2020-06-16,42,37,5|10|42,3,10,,5,,,,6,,True
2020-06-18,76,34,1|17|33|49|76,5,49,,33,,7,,1,F→-1|F→-2,True
2020-06-20,65,52,65|97,1,,97,,,,2,1,F→+1,True
2020-06-20,85,36,32|48|64|85,4,64,,48,,,,,,False
2020-06-21,92,43,12|28|44|60|81|92,6,81,,60,,2,,5,-1→F,True
2020-06-22,44,43,12|28|44|60|81|92,3,28,60,12,81,1,4,1,F→+1|F→-2,True
2020-06-22,60,43,12|28|44|60|81|92,4,44,81,28,92,1,1,4,-1→F|+1→F,True
2020-06-23,22,44,22|59|70|75|91,1,,59,,70,,,1,F→+2,True
2020-06-23,70,44,22|59|70|75|91,3,59,75,22,91,,2,2,,True
2020-06-24,94,39,9|14|30|41|46|62|78|94,8,78,,62,,,,2,,True
2020-06-27,27,26,27|38,1,,38,,,,,3,,True
2020-06-27,41,39,9|14|30|41|46|62|78|94,4,30,46,14,62,3,3,5,-1→F|+1→F,True
2020-06-28,82,33,2|39|82|87,3,39,87,2,,3,,7,-1→F,True
2020-06-29,19,40,8|19|51|56|67|72,2,8,51,,56,1,1,7,-1→F|+1→F,True
2020-06-29,56,40,8|19|51|56|67|72,4,51,67,19,72,1,5,,,False
2020-06-29,91,44,22|59|70|75|91,5,75,,70,,7,,,,False
2020-06-30,57,30,25|57,2,25,,,,2,,,,False
2020-07-01,42,37,5|10|42,3,10,,5,,1,,,,False
2020-07-01,76,34,1|17|33|49|76,5,49,,33,,4,,1,F→-1|F→-2|F→-1→-2,True
2020-07-02,29,41,13|29|93,2,13,93,,,,1,1,,True
2020-07-03,29,41,13|29|93,2,13,93,,,,4,1,F→+1,True
2020-07-06,12,43,12|28|44|60|81|92,1,,28,,44,,,1,F→+2,True
2020-07-07,94,39,9|14|30|41|46|62|78|94,8,78,,62,,4,,2,F→-1|F→-2,True
2020-07-08,87,33,2|39|82|87,4,82,,39,,1,,3,-1→F,True
2020-07-10,59,44,22|59|70|75|91,2,22,70,,75,,1,3,+1→F,True
2020-07-10,75,44,22|59|70|75|91,4,70,91,59,,1,2,,,False
2020-07-10,90,46,37|58|74|90,4,74,,58,,,,,,False
2020-07-11,4,47,4|36|68|79|84,1,,36,,68,,3,3,,True
2020-07-11,68,47,4|36|68|79|84,3,36,79,4,84,3,,,,False
2020-07-11,79,47,4|36|68|79|84,4,68,84,36,,,1,,,False
2020-07-12,12,43,12|28|44|60|81|92,1,,28,,44,,2,,,False
2020-07-12,28,43,12|28|44|60|81|92,2,12,44,,60,,5,2,F→+1|F→+2,True
2020-07-15,12,43,12|28|44|60|81|92,1,,28,,44,,1,6,+1→F,True
2020-07-15,44,43,12|28|44|60|81|92,3,28,60,12,81,1,4,2,-1→F|F→+1|F→-2|F→+2,True
2020-07-15,68,47,4|36|68|79|84,3,36,79,4,84,,4,5,+1→F,True
2020-07-15,71,42,7|18|23|50|55|66|71,7,66,,55,,6,,1,F→-1|F→-1→F,True
2020-07-17,42,37,5|10|42,3,10,,5,,4,,,,False
