relation,generator,candidate,n_confirmers,activations,w3_hits,hit_rate_w3,lift_vs_base_freq_random_one,security_level
"49->35<-7,63",49,35,2,1,1,1.0,5.3772,D_SIN_VENTAJA
39->94<-58,39,94,1,9,3,0.333333,1.7924,C_PROMETEDOR_NO_CONCLUYENTE
46->37<-82,46,37,1,4,0,0.0,0.0,D_SIN_VENTAJA
38->52<-81,38,52,1,4,0,0.0,0.0,D_SIN_VENTAJA
41->29<-70,41,29,1,5,0,0.0,0.0,D_SIN_VENTAJA
51->34<-26,51,34,1,2,0,0.0,0.0,D_SIN_VENTAJA
49->35<-29,49,35,1,4,2,0.5,2.6886,D_SIN_VENTAJA
49->40<-4,49,40,1,2,1,0.5,2.6886,D_SIN_VENTAJA
"46->90<-29,42",46,90,2,1,0,0.0,0.0,D_SIN_VENTAJA
44->91<-69,44,91,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
44->91<-11,44,91,1,5,2,0.4,2.1509,C_PROMETEDOR_NO_CONCLUYENTE
41->29<-53,41,29,1,3,0,0.0,0.0,D_SIN_VENTAJA
"43->44<-7,35",43,44,2,1,0,0.0,0.0,D_SIN_VENTAJA
32->77<-87,32,77,1,4,1,0.25,1.3443,D_SIN_VENTAJA
"28->53<-22,90",28,53,2,2,0,0.0,0.0,D_SIN_VENTAJA
"44->70<-22,53",44,70,2,4,0,0.0,0.0,D_SIN_VENTAJA
32->77<-73,32,77,1,3,0,0.0,0.0,D_SIN_VENTAJA
42->71<-89,42,71,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
35->54<-14,35,54,1,11,2,0.181818,0.9777,D_SIN_VENTAJA
28->26<-34,28,26,1,6,0,0.0,0.0,D_SIN_VENTAJA
"39->9<-53,70",39,9,2,1,1,1.0,5.3772,D_SIN_VENTAJA
"41->29<-53,70",41,29,2,1,1,1.0,5.3772,D_SIN_VENTAJA
"46->90<-7,9",46,90,2,2,1,0.5,2.6886,D_SIN_VENTAJA
"37->42<-22,29,44,70",37,42,4,1,0,0.0,0.0,D_SIN_VENTAJA
"44->22<-29,70",44,22,2,1,0,0.0,0.0,D_SIN_VENTAJA
"44->70<-22,29",44,70,2,1,1,1.0,5.3772,D_SIN_VENTAJA
38->63<-70,38,63,1,4,1,0.25,1.3443,D_SIN_VENTAJA
39->9<-22,39,9,1,4,1,0.25,1.3443,D_SIN_VENTAJA
28->53<-22,28,53,1,2,0,0.0,0.0,D_SIN_VENTAJA
"42->7<-22,70",42,7,2,1,1,1.0,5.3772,D_SIN_VENTAJA
"44->22<-63,70",44,22,2,1,0,0.0,0.0,D_SIN_VENTAJA
"43->44<-22,29",43,44,2,1,0,0.0,0.0,D_SIN_VENTAJA
43->81<-52,43,81,1,2,0,0.0,0.0,D_SIN_VENTAJA
"51->34<-26,59",51,34,2,1,0,0.0,0.0,D_SIN_VENTAJA
37->42<-29,37,42,1,2,1,0.5,2.6886,D_SIN_VENTAJA
"28->53<-7,29",28,53,2,1,0,0.0,0.0,D_SIN_VENTAJA
38->63<-53,38,63,1,3,1,0.333333,1.7924,D_SIN_VENTAJA
52->97<-48,52,97,1,4,0,0.0,0.0,D_SIN_VENTAJA
46->90<-9,46,90,1,1,0,0.0,0.0,D_SIN_VENTAJA
48->73<-87,48,73,1,6,2,0.333333,1.7924,C_PROMETEDOR_NO_CONCLUYENTE
"41->29<-53,63",41,29,2,1,1,1.0,5.3772,D_SIN_VENTAJA
"42->7<-29,35",42,7,2,1,0,0.0,0.0,D_SIN_VENTAJA
"41->29<-35,42",41,29,2,1,0,0.0,0.0,D_SIN_VENTAJA
42->7<-44,42,7,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
44->70<-42,44,70,1,6,2,0.333333,1.7924,C_PROMETEDOR_NO_CONCLUYENTE
48->73<-77,48,73,1,2,0,0.0,0.0,D_SIN_VENTAJA
48->73<-28,48,73,1,4,2,0.5,2.6886,D_SIN_VENTAJA
"37->42<-22,44,53",37,42,3,1,1,1.0,5.3772,D_SIN_VENTAJA
37->42<-22,37,42,1,1,0,0.0,0.0,D_SIN_VENTAJA
40->19<-46,40,19,1,3,0,0.0,0.0,D_SIN_VENTAJA
"28->53<-22,29",28,53,2,1,0,0.0,0.0,D_SIN_VENTAJA
38->63<-90,38,63,1,3,1,0.333333,1.7924,D_SIN_VENTAJA
"39->9<-7,90",39,9,2,1,0,0.0,0.0,D_SIN_VENTAJA
"39->9<-22,63",39,9,2,1,0,0.0,0.0,D_SIN_VENTAJA
"36->48<-93,97",36,48,2,1,0,0.0,0.0,D_SIN_VENTAJA
44->22<-35,44,22,1,3,1,0.333333,1.7924,D_SIN_VENTAJA
44->70<-35,44,70,1,3,1,0.333333,1.7924,D_SIN_VENTAJA
"40->72<-26,59",40,72,2,1,0,0.0,0.0,D_SIN_VENTAJA
43->44<-35,43,44,1,4,2,0.5,2.6886,D_SIN_VENTAJA
44->91<-57,44,91,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
"49->35<-7,29",49,35,2,1,0,0.0,0.0,D_SIN_VENTAJA
41->29<-90,41,29,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
"28->53<-7,22",28,53,2,1,0,0.0,0.0,D_SIN_VENTAJA
"33->82<-37,65",33,82,2,1,1,1.0,5.3772,D_SIN_VENTAJA
"38->63<-44,53",38,63,2,1,0,0.0,0.0,D_SIN_VENTAJA
28->53<-35,28,53,1,3,0,0.0,0.0,D_SIN_VENTAJA
46->90<-35,46,90,1,1,0,0.0,0.0,D_SIN_VENTAJA
